Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error,Original_Measured_Value
1,Formula,0.7942857142857143,0.4751773049645389,0.31910840932117535,0.31910840932117535,8.04
2,Formula,1.4530386740331493,0.041962174940898336,1.411076499092251,1.411076499092251,0.71
3,Formula,0.9010238907849828,0.02541371158392435,0.8756101792010584,0.8756101792010584,0.43
4,Formula,0.81,0.042553191489361694,0.7674468085106384,0.7674468085106384,0.72
5,Formula,0.510204081632653,0.0,0.510204081632653,0.510204081632653,0.0
6,Formula,0.09826589595375723,0.5159574468085106,-0.4176915508547534,0.4176915508547534,8.73
7,Formula,0.95,0.02541371158392435,0.9245862884160756,0.9245862884160756,0.43
8,Formula,0.8254716981132076,0.06323877068557919,0.7622329274276285,0.7622329274276285,1.07
9,Formula,0.4675324675324676,0.47281323877068554,-0.005280771238217963,0.005280771238217963,8.0
10,Formula,1.3376623376623378,0.03250591016548463,1.3051564274968532,1.3051564274968532,0.55
11,Formula,1.1291666666666664,0.015957446808510637,1.1132092198581558,1.1132092198581558,0.27
12,Formula,-0.30869565217391326,0.7565011820330969,-1.0651968342070102,1.0651968342070102,12.8
13,Formula,0.52,0.029550827423167846,0.4904491725768322,0.4904491725768322,0.5
14,Formula,0.31645569620253156,0.0,0.31645569620253156,0.31645569620253156,0.0
15,Formula,0.6542056074766356,1.0,-0.3457943925233644,0.3457943925233644,16.92
16,Formula,1.2149532710280373,0.04137115839243498,1.1735821126356023,1.1735821126356023,0.7
17,Formula,0.5818181818181818,0.7819148936170213,-0.20009671179883948,0.20009671179883948,13.23
18,Formula,0.9900000000000001,0.035460992907801414,0.9545390070921986,0.9545390070921986,0.6
19,Formula,0.46999999999999986,0.08983451536643025,0.3801654846335696,0.3801654846335696,1.52
20,Formula,0.0461538461538461,0.34042553191489355,-0.29427168576104745,0.29427168576104745,5.76
21,Formula,0.7794871794871794,0.04550827423167848,0.7339789052555009,0.7339789052555009,0.77
