Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error,Original_Measured_Value
1,Formula,0.6534653465346534,155.79,-155.13653465346533,155.13653465346533,155.79
2,Formula,1.2834645669291338,208.86,-207.5765354330709,207.5765354330709,208.86
3,Formula,0.9311355311355312,190.9,-189.96886446886447,189.96886446886447,190.9
4,Formula,1.0477888730385165,182.7,-181.65221112696148,181.65221112696148,182.7
5,Formula,0.8412698412698413,203.41,-202.56873015873015,202.56873015873015,203.41
6,Formula,0.09000000000000001,106.12,-106.03,106.03,106.12
7,Formula,0.8699999999999999,169.87,-169.0,169.0,169.87
8,Formula,0.6666666666666669,152.86,-152.19333333333336,152.19333333333336,152.86
9,Formula,1.0141843971631208,190.5,-189.48581560283688,189.48581560283688,190.5
10,Formula,0.8412698412698413,155.56,-154.71873015873015,154.71873015873015,155.56
16,Formula,0.48999999999999994,163.84,-163.35,163.35,163.84
17,Formula,1.3199999999999998,205.68,-204.36,204.36,205.68
18,Formula,1.1044776119402986,190.34,-189.2355223880597,189.2355223880597,190.34
19,Formula,1.1044776119402986,191.1,-189.9955223880597,189.9955223880597,191.1
20,Formula,1.4029850746268657,202.61,-201.20701492537316,201.20701492537316,202.61
21,Formula,-0.27,95.32,-95.58999999999999,95.58999999999999,95.32
22,Formula,0.49,169.77,-169.28,169.28,169.77
23,Formula,0.36,136.91,-136.54999999999998,136.54999999999998,136.91
24,Formula,1.3884892086330933,211.61,-210.2215107913669,210.2215107913669,211.61
25,Formula,0.6138613861386136,157.14,-156.52613861386138,156.52613861386138,157.14
26,Formula,0.6400000000000002,151.24,-150.60000000000002,150.60000000000002,151.24
27,Formula,1.0099999999999998,207.76,-206.75,206.75,207.76
28,Formula,1.0455531453362257,187.2,-186.15444685466377,186.15444685466377,187.2
29,Formula,1.0499999999999998,194.31,-193.26,193.26,194.31
30,Formula,0.954954954954955,170.42,-169.46504504504503,169.46504504504503,170.42
31,Formula,0.65,185.21,-184.56,184.56,185.21
32,Formula,1.3599999999999997,182.12,-180.76,180.76,182.12
33,Formula,0.5280528052805281,147.46,-146.93194719471947,146.93194719471947,147.46
34,Formula,1.0,165.84,-164.84,164.84,165.84
35,Formula,1.2311977715877438,206.71,-205.47880222841226,205.47880222841226,206.71
36,Formula,0.29000000000000004,151.12,-150.83,150.83,151.12
37,Formula,0.9699999999999998,161.31,-160.34,160.34,161.31
38,Formula,0.7151515151515151,151.1,-150.38484848484848,150.38484848484848,151.1
39,Formula,1.1181217901687452,188.74,-187.62187820983127,187.62187820983127,188.74
40,Formula,0.777158774373259,167.81,-167.03284122562675,167.03284122562675,167.81
