Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error,Original_Measured_Value
1,Formula,0.75390625,155.79,-155.03609375,155.03609375,155.79
2,Formula,1.415841584158416,208.86,-207.4441584158416,207.4441584158416,208.86
3,Formula,1.1153846153846154,190.9,-189.7846153846154,189.7846153846154,190.9
4,Formula,1.0380883938196193,182.7,-181.66191160618038,181.66191160618038,182.7
5,Formula,0.9272727272727272,203.41,-202.48272727272726,202.48272727272726,203.41
6,Formula,-0.11999999999999994,106.12,-106.24000000000001,106.24000000000001,106.12
7,Formula,0.78,169.87,-169.09,169.09,169.87
8,Formula,0.9009009009009009,152.86,-151.95909909909912,151.95909909909912,152.86
9,Formula,1.0899999999999999,190.5,-189.41,189.41,190.5
10,Formula,0.9272727272727272,155.56,-154.63272727272727,154.63272727272727,155.56
11,Formula,0.37984496124031,137.37,-136.9901550387597,136.9901550387597,137.37
12,Formula,1.31,185.31,-184.0,184.0,185.31
13,Formula,1.2147239263803682,181.86,-180.64527607361964,180.64527607361964,181.86
14,Formula,1.602076124567474,210.19,-208.58792387543252,208.58792387543252,210.19
15,Formula,1.2635658914728682,214.32,-213.05643410852713,213.05643410852713,214.32
16,Formula,0.5419847328244275,163.84,-163.29801526717557,163.29801526717557,163.84
17,Formula,1.450381679389313,205.68,-204.22961832061068,204.22961832061068,205.68
18,Formula,1.2276422764227644,190.34,-189.11235772357725,189.11235772357725,190.34
19,Formula,1.23,191.1,-189.87,189.87,191.1
20,Formula,1.47,202.61,-201.14000000000001,201.14000000000001,202.61
26,Formula,0.6800000000000002,151.24,-150.56,150.56,151.24
27,Formula,1.2400000000000004,207.76,-206.51999999999998,206.51999999999998,207.76
28,Formula,0.8099999999999999,187.2,-186.39,186.39,187.2
29,Formula,1.29,194.31,-193.02,193.02,194.31
30,Formula,0.8000000000000002,170.42,-169.61999999999998,169.61999999999998,170.42
31,Formula,0.75,185.21,-184.46,184.46,185.21
32,Formula,1.4500000000000002,182.12,-180.67000000000002,180.67000000000002,182.12
33,Formula,0.8699999999999998,147.46,-146.59,146.59,147.46
34,Formula,1.06,165.84,-164.78,164.78,165.84
35,Formula,1.31,206.71,-205.4,205.4,206.71
36,Formula,0.4800000000000001,151.12,-150.64000000000001,150.64000000000001,151.12
37,Formula,1.2479999999999998,161.31,-160.062,160.062,161.31
38,Formula,0.6513761467889909,151.1,-150.448623853211,150.448623853211,151.1
39,Formula,1.2704126426690079,188.74,-187.469587357331,187.469587357331,188.74
40,Formula,0.76,167.81,-167.05,167.05,167.81
