Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error,Original_Predicted_Value,Original_Measured_Value
1,Formula,0.6310483870967742,0.4918323413954666,0.13921604570130763,0.13921604570130763,1.5999999999999999,152.13
2,Formula,0.8286290322580645,0.8437381284031911,-0.015109096145126566,0.015109096145126566,2.5799999999999996,207.71
3,Formula,0.0,0.725212105862986,-0.725212105862986,0.725212105862986,-1.5299999999999998,188.99
4,Formula,0.8337593719994281,0.7759275674306698,0.05783180456875825,0.05783180456875825,2.6054464851171626,197.0
5,Formula,0.6318884408602151,0.7880840825629986,-0.15619564170278344,0.15619564170278344,1.6041666666666665,198.92
6,Formula,0.4821017116524029,0.21267569963277197,0.2694260120196309,0.2694260120196309,0.8612244897959183,108.04
7,Formula,0.634340026333114,0.5909839179435228,0.04335610838959125,0.04335610838959125,1.616326530612245,167.79
8,Formula,0.6482647698441465,0.4674559959478283,0.18080877389631822,0.18080877389631822,1.6853932584269664,148.28
9,Formula,0.758108029705268,0.7442066607572496,0.013901368948018411,0.013901368948018411,2.230215827338129,191.99
10,Formula,0.6318884408602151,0.49145245029758133,0.14043599056263378,0.14043599056263378,1.6041666666666665,152.07
11,Formula,0.40126655411068807,0.39894896796251744,0.002317586148170625,0.002317586148170625,0.46028210838901257,137.46
12,Formula,0.5937492516224825,0.6829175636317589,-0.08916831200927644,0.08916831200927644,1.414996288047513,182.31
13,Formula,0.5375891414563486,0.6654425731290364,-0.1278534316726878,0.1278534316726878,1.1364421416234887,179.55
14,Formula,0.8678143093465676,0.8953400025326075,-0.027525693186039923,0.027525693186039923,2.7743589743589743,215.86
15,Formula,0.6817892421670011,0.8893250601494237,-0.2075358179824226,0.2075358179824226,1.8516746411483251,214.91
16,Formula,0.5675475059382423,0.542294542231227,0.025252963707015352,0.025252963707015352,1.2850356294536818,160.1
17,Formula,0.7653292851122522,0.8108142332531342,-0.045484948140882,0.045484948140882,2.26603325415677,202.51
18,Formula,0.6592741935483872,0.6812713688742561,-0.021997175325868867,0.021997175325868867,1.7400000000000002,182.05
19,Formula,0.7903225806451615,0.8295555274154741,-0.03923294677031264,0.03923294677031264,2.39,205.47
20,Formula,0.5564516129032259,0.7937191338482968,-0.23726752094507098,0.23726752094507098,1.23,199.81
26,Formula,0.39439769965711247,0.13213878688109404,0.2622589127760184,0.2622589127760184,0.4262125902992777,95.32
27,Formula,0.5887284030760012,0.6035203241737369,-0.01479192109773575,0.01479192109773575,1.3900928792569658,169.77
28,Formula,0.6935483870967744,0.39546663289856904,0.2980817541982053,0.2980817541982053,1.9100000000000001,136.91
