Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error
1,Formula,139.31624999999977,160.39,-21.073750000000217,21.073750000000217
2,Formula,189.08379999999957,219.26,-30.17620000000042,30.17620000000042
3,Formula,177.8696999999998,202.68,-24.81030000000021,24.81030000000021
4,Formula,188.9059000000001,203.76,-14.854099999999903,14.854099999999903
5,Formula,193.64784999999978,207.26,-13.612150000000213,13.612150000000213
6,Formula,70.62379999999999,131.74,-61.11620000000002,61.11620000000002
7,Formula,160.25164999999967,174.5,-14.248350000000329,14.248350000000329
8,Formula,143.14270000000027,160.19,-17.047299999999723,17.047299999999723
9,Formula,195.64060000000006,186.67,8.970600000000076,8.970600000000076
10,Formula,158.48705000000024,149.99,8.497050000000229,8.497050000000229
11,Formula,130.10234999999994,148.8,-18.697650000000067,18.697650000000067
12,Formula,184.06119999999973,185.64,-1.5788000000002569,1.5788000000002569
13,Formula,180.2605500000002,177.2,3.0605500000002053,3.0605500000002053
14,Formula,201.62729999999996,213.16,-11.532700000000034,11.532700000000034
15,Formula,209.44984999999988,208.83,0.6198499999998717,0.6198499999998717
16,Formula,149.23969999999974,179.53,-30.290300000000258,30.290300000000258
17,Formula,195.55730000000023,205.51,-9.952699999999766,9.952699999999766
18,Formula,178.84199999999962,187.25,-8.408000000000385,8.408000000000385
19,Formula,188.6510499999999,203.34,-14.68895000000009,14.68895000000009
20,Formula,194.03789999999938,204.09,-10.052100000000621,10.052100000000621
21,Formula,149.1042000000005,174.09,-24.9857999999995,24.9857999999995
22,Formula,202.16064999999963,222.55,-20.389350000000377,20.389350000000377
23,Formula,193.83594999999985,216.86,-23.02405000000016,23.02405000000016
24,Formula,118.70830000000007,141.67,-22.961699999999922,22.961699999999922
25,Formula,204.94844999999972,228.79,-23.841550000000268,23.841550000000268
26,Formula,71.67825000000015,119.48,-47.801749999999856,47.801749999999856
27,Formula,146.51869999999982,183.47,-36.951300000000174,36.951300000000174
28,Formula,128.02014999999986,149.07,-21.049850000000134,21.049850000000134
29,Formula,197.28029999999998,213.63,-16.349700000000013,16.349700000000013
30,Formula,154.3747999999998,162.22,-7.8452000000002045,7.8452000000002045
31,Formula,136.5845000000002,167.35,-30.765499999999804,30.765499999999804
32,Formula,182.76104999999978,219.14,-36.3789500000002,36.3789500000002
33,Formula,174.4915500000005,192.51,-18.01844999999949,18.01844999999949
34,Formula,195.89299999999986,189.12,6.772999999999854,6.772999999999854
35,Formula,172.34780000000023,171.39,0.9578000000002476,0.9578000000002476
36,Formula,183.41124999999968,172.78,10.631249999999682,10.631249999999682
37,Formula,183.11795,184.36,-1.242050000000006,1.242050000000006
38,Formula,164.2241000000002,159.88,4.344100000000196,4.344100000000196
39,Formula,164.69509999999954,173.36,-8.664900000000472,8.664900000000472
40,Formula,200.34779999999995,219.51,-19.16220000000004,19.16220000000004
41,Formula,132.57335000000046,148.71,-16.13664999999955,16.13664999999955
42,Formula,206.68869999999967,201.12,5.568699999999666,5.568699999999666
43,Formula,198.37029999999945,185.01,13.360299999999455,13.360299999999455
44,Formula,150.4816000000002,184.94,-34.458399999999784,34.458399999999784
45,Formula,206.78944999999982,212.43,-5.640550000000189,5.640550000000189
46,Formula,151.06169999999972,201.03,-49.96830000000028,49.96830000000028
47,Formula,207.52395000000013,220.58,-13.056049999999885,13.056049999999885
48,Formula,211.21745000000038,194.38,16.837450000000388,16.837450000000388
49,Formula,131.97869999999975,171.45,-39.47130000000024,39.47130000000024
50,Formula,183.27720000000005,244.36,-61.08279999999996,61.08279999999996
51,Formula,149.14539999999946,145.15,3.9953999999994494,3.9953999999994494
52,Formula,158.0275499999997,162.93,-4.9024500000003,4.9024500000003
53,Formula,146.76795000000027,160.09,-13.322049999999734,13.322049999999734
54,Formula,180.65784999999937,201.96,-21.302150000000637,21.302150000000637
55,Formula,166.38384999999988,160.65,5.733849999999876,5.733849999999876
56,Formula,186.94010000000006,172.4,14.540100000000052,14.540100000000052
57,Formula,201.11080000000013,160.4,40.71080000000012,40.71080000000012
58,Formula,154.8788499999997,120.94,33.93884999999969,33.93884999999969
59,Formula,167.69455000000042,154.1,13.594550000000424,13.594550000000424
60,Formula,180.85970000000026,198.81,-17.950299999999743,17.950299999999743
