Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error,Original_Measured_Value
1,Formula,0.7166666666666666,155.79,-155.07333333333332,155.07333333333332,155.79
2,Formula,1.4320388349514566,208.86,-207.42796116504854,207.42796116504854,208.86
3,Formula,1.0714946783896346,190.9,-189.82850532161038,189.82850532161038,190.9
4,Formula,1.0452118191527235,182.7,-181.65478818084728,181.65478818084728,182.7
5,Formula,0.986842105263158,203.41,-202.42315789473685,202.42315789473685,203.41
6,Formula,0.02999999999999997,106.12,-106.09,106.09,106.12
7,Formula,0.7500000000000002,169.87,-169.12,169.12,169.87
8,Formula,0.6585365853658538,152.86,-152.20146341463416,152.20146341463416,152.86
9,Formula,1.1400000000000001,190.5,-189.36,189.36,190.5
10,Formula,0.986842105263158,155.56,-154.57315789473685,154.57315789473685,155.56
11,Formula,0.33606557377049184,137.37,-137.0339344262295,137.0339344262295,137.37
12,Formula,1.17,185.31,-184.14000000000001,184.14000000000001,185.31
13,Formula,1.0817120622568093,181.86,-180.77828793774322,180.77828793774322,181.86
14,Formula,1.4500000000000002,210.19,-208.74,208.74,210.19
15,Formula,0.9625000000000002,214.32,-213.3575,213.3575,214.32
16,Formula,0.7,163.84,-163.14000000000001,163.14000000000001,163.84
17,Formula,1.49,205.68,-204.19,204.19,205.68
18,Formula,1.2405063291139238,190.34,-189.0994936708861,189.0994936708861,190.34
19,Formula,1.14,191.1,-189.96,189.96,191.1
20,Formula,1.36,202.61,-201.25,201.25,202.61
21,Formula,-0.21999999999999997,95.32,-95.53999999999999,95.53999999999999,95.32
22,Formula,0.53,169.77,-169.24,169.24,169.77
23,Formula,0.3769230769230769,136.91,-136.53307692307692,136.53307692307692,136.91
24,Formula,1.4199999999999997,211.61,-210.19000000000003,210.19000000000003,211.61
25,Formula,0.9625000000000002,157.14,-156.17749999999998,156.17749999999998,157.14
31,Formula,0.7423469387755102,185.21,-184.4676530612245,184.4676530612245,185.21
32,Formula,1.4464285714285714,182.12,-180.67357142857142,180.67357142857142,182.12
33,Formula,0.7500000000000002,147.46,-146.71,146.71,147.46
34,Formula,0.9400000000000001,165.84,-164.9,164.9,165.84
35,Formula,1.3699999999999999,206.71,-205.34,205.34,206.71
36,Formula,0.3538461538461538,151.12,-150.76615384615386,150.76615384615386,151.12
37,Formula,1.051282051282051,161.31,-160.25871794871796,160.25871794871796,161.31
38,Formula,0.6480000000000001,151.1,-150.452,150.452,151.1
39,Formula,1.0826873385012918,188.74,-187.6573126614987,187.6573126614987,188.74
40,Formula,0.74,167.81,-167.07,167.07,167.81
