Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error
1,AKT1,0.12853812853812854,0.13,-0.0014618714618714612,0.0014618714618714612
1,MAPK1,0.14219114219114218,0.14,0.0021911421911421647,0.0021911421911421647
1,TP53,0.050949050949050945,0.05,0.0009490509490509419,0.0009490509490509419
1,CASP3,0.08691308691308691,0.09,-0.0030869130869130845,0.0030869130869130845
1,CDK2,0.2624042624042624,0.26,0.0024042624042623917,0.0024042624042623917
2,AKT1,0.7955377955377956,0.8,-0.0044622044622044665,0.0044622044622044665
2,MAPK1,0.7002997002997002,0.7,0.00029970029970027845,0.00029970029970027845
2,TP53,0.050949050949050945,0.05,0.0009490509490509419,0.0009490509490509419
2,CASP3,0.06027306027306028,0.06,0.0002730602730602813,0.0002730602730602813
2,CDK2,0.8551448551448552,0.86,-0.004855144855144822,0.004855144855144822
3,AKT1,0.0715950715950716,0.07,0.0015950715950715927,0.0015950715950715927
3,MAPK1,0.14219114219114218,0.14,0.0021911421911421647,0.0021911421911421647
3,TP53,0.8444888444888444,0.84,0.004488844488844457,0.004488844488844457
3,CASP3,0.7642357642357642,0.76,0.004235764235764217,0.004235764235764217
3,CDK2,0.08524808524808525,0.09,-0.004751914751914749,0.004751914751914749
4,AKT1,0.6886446886446885,0.69,-0.0013553113553114171,0.0013553113553114171
4,MAPK1,0.7002997002997002,0.7,0.00029970029970027845,0.00029970029970027845
4,TP53,0.3536463536463536,0.35,0.0036463536463536284,0.0036463536463536284
4,CASP3,0.21545121545121546,0.22,-0.004548784548784546,0.004548784548784546
4,CDK2,0.6020646020646021,0.6,0.002064602064602128,0.002064602064602128
5,AKT1,0.3123543123543123,0.31,0.0023543123543123268,0.0023543123543123268
5,MAPK1,0.6916416916416916,0.69,0.0016416916416917005,0.0016416916416917005
5,TP53,0.05028305028305028,0.05,0.00028305028305027763,0.00028305028305027763
5,CASP3,0.08391608391608392,0.08,0.003916083916083918,0.003916083916083918
5,CDK2,0.7246087246087246,0.73,-0.005391275391275374,0.005391275391275374
6,AKT1,0.18714618714618717,0.19,-0.002853812853812837,0.002853812853812837
6,MAPK1,0.706959706959707,0.71,-0.003040293040292963,0.003040293040292963
6,TP53,0.04528804528804529,0.05,-0.004711954711954715,0.004711954711954715
6,CASP3,0.07925407925407926,0.08,-0.000745920745920739,0.000745920745920739
6,CDK2,0.7006327006327006,0.7,0.0006327006327006002,0.0006327006327006002
7,AKT1,0.7955377955377956,0.8,-0.0044622044622044665,0.0044622044622044665
7,MAPK1,0.7002997002997002,0.7,0.00029970029970027845,0.00029970029970027845
7,TP53,0.050949050949050945,0.05,0.0009490509490509419,0.0009490509490509419
7,CASP3,0.06027306027306028,0.06,0.0002730602730602813,0.0002730602730602813
7,CDK2,0.8551448551448552,0.86,-0.004855144855144822,0.004855144855144822
8,AKT1,0.8035298035298034,0.8,0.003529803529803366,0.003529803529803366
8,MAPK1,0.7026307026307026,0.7,0.0026307026307026415,0.0026307026307026415
8,TP53,0.050949050949050945,0.05,0.0009490509490509419,0.0009490509490509419
8,CASP3,0.0636030636030636,0.06,0.0036030636030636026,0.0036030636030636026
8,CDK2,0.8521478521478523,0.85,0.0021478521478522916,0.0021478521478522916
9,AKT1,0.04695304695304695,0.05,-0.0030469530469530506,0.0030469530469530506
9,MAPK1,0.8991008991008992,0.9,-0.0008991008991008353,0.0008991008991008353
9,TP53,0.9417249417249417,0.94,0.0017249417249417531,0.0017249417249417531
9,CASP3,0.8538128538128538,0.85,0.003812853812853789,0.003812853812853789
9,CDK2,0.10089910089910091,0.1,0.0008991008991009047,0.0008991008991009047
10,AKT1,0.07026307026307027,0.07,0.00026307026307026415,0.00026307026307026415
10,MAPK1,0.1272061272061272,0.13,-0.0027938727938728036,0.0027938727938728036
10,TP53,0.7422577422577423,0.74,0.0022577422577423345,0.0022577422577423345
10,CASP3,0.6749916749916749,0.67,0.004991674991674855,0.004991674991674855
10,CDK2,0.10089910089910088,0.1,0.000899100899100877,0.000899100899100877
