mutation_profile,train_n_exp,train_pearson_r,train_pearson_p,train_mae,train_rmse,test_n_exp,test_pearson_r,test_pearson_p,test_mae,test_rmse,n_patients_mean,n_patients_min,n_patients_max,std_mean,std_min,std_max,n_drugs,drug_level_detail
DNMT3A,35,0.862,3e-11,0.095,0.122,5,0.957,1e-02,0.081,0.113,28.8,22,32,54.824,39.74,71.12,5,"Venetoclax (n=28, sd=62.12); Ibrutinib (n=32, sd=40.47); Entospletinib (n=22, sd=39.74); Selumetinib (n=30, sd=71.12); Midostaurin (n=32, sd=60.67)"
"FLT3_ITD,NPM1",35,0.834,5e-10,0.096,0.126,5,0.723,2e-01,0.192,0.25,21.6,19,25,62.398,51.73,72.49,5,"Venetoclax (n=19, sd=64.62); Ibrutinib (n=22, sd=53.52); Entospletinib (n=19, sd=51.73); Selumetinib (n=23, sd=72.49); Midostaurin (n=25, sd=69.63)"
NPM1,35,0.881,3e-12,0.083,0.112,5,0.71,2e-01,0.221,0.28,42.4,35,45,61.124,42.07,82.65,5,"Venetoclax (n=44, sd=82.65); Ibrutinib (n=45, sd=54.35); Entospletinib (n=35, sd=42.07); Selumetinib (n=43, sd=81.63); Midostaurin (n=45, sd=44.92)"
FLT3_ITD,35,0.879,4e-12,0.081,0.109,5,0.616,3e-01,0.209,0.293,38.4,29,44,68.97,57.04,85.32,5,"Venetoclax (n=35, sd=85.32); Ibrutinib (n=41, sd=57.04); Entospletinib (n=29, sd=61.2); Selumetinib (n=43, sd=74.06); Midostaurin (n=44, sd=67.23)"
"DNMT3A,FLT3_ITD",35,0.887,1e-12,0.079,0.113,5,0.437,5e-01,0.312,0.379,6.6,5,8,51.644,22.41,91.16,5,"Venetoclax (n=5, sd=91.16); Ibrutinib (n=7, sd=38.11); Entospletinib (n=5, sd=22.41); Selumetinib (n=8, sd=70.21); Midostaurin (n=8, sd=36.33)"
"DNMT3A,FLT3_ITD,NPM1",35,0.886,1e-12,0.086,0.114,5,0.341,6e-01,0.358,0.432,26.4,24,28,57.828,47.61,73.91,5,"Venetoclax (n=26, sd=73.91); Ibrutinib (n=26, sd=47.61); Entospletinib (n=24, sd=48.44); Selumetinib (n=28, sd=64.12); Midostaurin (n=28, sd=55.06)"
"DNMT3A,NPM1",35,0.899,2e-13,0.08,0.107,5,0.111,9e-01,0.381,0.458,19.2,13,24,61.168,44.74,73.77,5,"Venetoclax (n=15, sd=73.77); Ibrutinib (n=21, sd=44.74); Entospletinib (n=13, sd=54.55); Selumetinib (n=24, sd=69.6); Midostaurin (n=23, sd=63.18)"
No mutation,35,0.87,1e-11,0.096,0.117,5,-0.093,9e-01,0.529,0.541,201.2,145,235,59.766,49.58,74.36,5,"Venetoclax (n=180, sd=74.36); Ibrutinib (n=220, sd=52.76); Entospletinib (n=145, sd=49.58); Selumetinib (n=226, sd=69.74); Midostaurin (n=235, sd=52.39)"
