Feature,Importance
drug_Venetoclax,0.20650217241212873
FLT3,0.17507467374071814
DNMT3A,0.17114454203616247
DAB2IP,0.15192845699195118
drug_Selumetinib,0.09860547784658727
NPM1,0.09277575757597
drug_Entospletinib,0.041688966533466314
drug_Midostaurin,0.03722040982093269
drug_Ibrutinib,0.025059543042083313
