Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values,n_patients,std,drug,mutation_profile
1,,,BCL2,1,AUC,148.01,89,75.42,Venetoclax,No mutation
2,,,BTK,1,AUC,192.85,90,59.80,Ibrutinib,No mutation
3,,,SYK,1,AUC,177.06,75,51.66,Entospletinib,No mutation
4,,,"MAP2K1,MAP2K2","1,1",AUC,167.49,85,75.62,Selumetinib,No mutation
5,,,"FLT3,KIT","1,1",AUC,192.00,96,60.77,Midostaurin,No mutation
6,FLT3,1,BCL2,1,AUC,67.68,14,68.71,Venetoclax,FLT3_ITD
7,FLT3,1,BTK,1,AUC,160.96,14,61.14,Ibrutinib,FLT3_ITD
8,FLT3,1,SYK,1,AUC,143.85,13,73.05,Entospletinib,FLT3_ITD
9,FLT3,1,"MAP2K1,MAP2K2","1,1",AUC,197.65,15,84.73,Selumetinib,FLT3_ITD
10,FLT3,1,"FLT3,KIT","1,1",AUC,167.51,14,78.10,Midostaurin,FLT3_ITD
11,,,"BCL2,NPM1","1,1",AUC,125.95,22,90.58,Venetoclax,NPM1
12,,,"BTK,NPM1","1,1",AUC,182.98,23,54.14,Ibrutinib,NPM1
13,,,"NPM1,SYK","1,1",AUC,184.96,19,42.17,Entospletinib,NPM1
14,,,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,210.90,19,93.81,Selumetinib,NPM1
15,,,"FLT3,KIT,NPM1","1,1,1",AUC,219.58,22,55.58,Midostaurin,NPM1
16,,,"BCL2,DNMT3A","1,1",AUC,144.50,15,71.24,Venetoclax,DNMT3A
17,,,"BTK,DNMT3A","1,1",AUC,200.52,14,51.23,Ibrutinib,DNMT3A
18,,,"DNMT3A,SYK","1,1",AUC,191.20,10,45.63,Entospletinib,DNMT3A
19,,,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,187.35,13,83.62,Selumetinib,DNMT3A
20,,,"DNMT3A,FLT3,KIT","1,1,1",AUC,190.20,15,69.71,Midostaurin,DNMT3A
21,FLT3,1,"BCL2,NPM1","1,1",AUC,62.10,8,55.44,Venetoclax,"FLT3_ITD,NPM1"
22,FLT3,1,"BTK,NPM1","1,1",AUC,140.41,7,57.32,Ibrutinib,"FLT3_ITD,NPM1"
23,FLT3,1,"NPM1,SYK","1,1",AUC,120.19,8,59.54,Entospletinib,"FLT3_ITD,NPM1"
24,FLT3,1,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,207.80,8,89.10,Selumetinib,"FLT3_ITD,NPM1"
25,FLT3,1,"FLT3,KIT,NPM1","1,1,1",AUC,148.12,9,82.14,Midostaurin,"FLT3_ITD,NPM1"
26,FLT3,1,"BCL2,DNMT3A","1,1",AUC,140.49,3,113.26,Venetoclax,"DNMT3A,FLT3_ITD"
27,FLT3,1,"BTK,DNMT3A","1,1",AUC,192.59,3,28.41,Ibrutinib,"DNMT3A,FLT3_ITD"
28,FLT3,1,"DNMT3A,SYK","1,1",AUC,183.65,3,26.67,Entospletinib,"DNMT3A,FLT3_ITD"
29,FLT3,1,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,199.50,4,64.31,Selumetinib,"DNMT3A,FLT3_ITD"
30,FLT3,1,"DNMT3A,FLT3,KIT","1,1,1",AUC,169.45,4,40.69,Midostaurin,"DNMT3A,FLT3_ITD"
31,,,"BCL2,DNMT3A,NPM1","1,1,1",AUC,196.18,8,81.26,Venetoclax,"DNMT3A,NPM1"
32,,,"BTK,DNMT3A,NPM1","1,1,1",AUC,193.46,8,21.84,Ibrutinib,"DNMT3A,NPM1"
33,,,"DNMT3A,NPM1,SYK","1,1,1",AUC,145.95,6,76.59,Entospletinib,"DNMT3A,NPM1"
34,,,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,164.10,7,68.81,Selumetinib,"DNMT3A,NPM1"
35,,,"DNMT3A,FLT3,KIT,NPM1","1,1,1,1",AUC,192.22,7,94.80,Midostaurin,"DNMT3A,NPM1"
36,FLT3,1,"BCL2,DNMT3A,NPM1","1,1,1",AUC,155.50,15,68.74,Venetoclax,"DNMT3A,FLT3_ITD,NPM1"
37,FLT3,1,"BTK,DNMT3A,NPM1","1,1,1",AUC,159.91,14,59.29,Ibrutinib,"DNMT3A,FLT3_ITD,NPM1"
38,FLT3,1,"DNMT3A,NPM1,SYK","1,1,1",AUC,143.50,13,50.60,Entospletinib,"DNMT3A,FLT3_ITD,NPM1"
39,FLT3,1,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,173.48,13,60.15,Selumetinib,"DNMT3A,FLT3_ITD,NPM1"
40,FLT3,1,"DNMT3A,FLT3,KIT,NPM1","1,1,1,1",AUC,174.98,14,60.37,Midostaurin,"DNMT3A,FLT3_ITD,NPM1"
