Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values,n_patients,std,drug,mutation_profile
41,,,"BCL2,DNMT3A,NPM1","1,1,1",AUC,198.44,5,66.23,Venetoclax,"DNMT3A,NPM1"
42,,,"BTK,DNMT3A,NPM1","1,1,1",AUC,181.93,5,10.19,Ibrutinib,"DNMT3A,NPM1"
43,,,"DNMT3A,NPM1,SYK","1,1,1",AUC,166.63,3,38.08,Entospletinib,"DNMT3A,NPM1"
44,,,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,147.3,4,42.73,Selumetinib,"DNMT3A,NPM1"
45,,,"DNMT3A,FLT3,KIT,NPM1","1,1,1,1",AUC,205.62,4,77.72,Midostaurin,"DNMT3A,NPM1"
46,DAB2IP,1,"BCL2,NPM1","1,1",AUC,124.83,3,119.9,Venetoclax,"NPM1,DAB2IP"
47,DAB2IP,1,"BTK,NPM1","1,1",AUC,208.52,3,43.91,Ibrutinib,"NPM1,DAB2IP"
48,DAB2IP,1,"NPM1,SYK","1,1",AUC,214.46,2,52.57,Entospletinib,"NPM1,DAB2IP"
49,DAB2IP,1,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,140.38,2,81.48,Selumetinib,"NPM1,DAB2IP"
50,DAB2IP,1,"FLT3,KIT,NPM1","1,1,1",AUC,208.63,3,54.26,Midostaurin,"NPM1,DAB2IP"
51,DAB2IP,1,"BCL2,DNMT3A","1,1",AUC,140.39,3,30.6,Venetoclax,"DNMT3A,DAB2IP"
52,DAB2IP,1,"BTK,DNMT3A","1,1",AUC,206.24,3,111.85,Ibrutinib,"DNMT3A,DAB2IP"
53,DAB2IP,1,"DNMT3A,SYK","1,1",AUC,248.58,2,48.98,Entospletinib,"DNMT3A,DAB2IP"
54,DAB2IP,1,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,118.46,3,95.35,Selumetinib,"DNMT3A,DAB2IP"
55,DAB2IP,1,"DNMT3A,FLT3,KIT","1,1,1",AUC,170.34,3,104.59,Midostaurin,"DNMT3A,DAB2IP"
56,FLT3,1,"BCL2,DNMT3A,NPM1","1,1,1",AUC,148.92,13,70.34,Venetoclax,"DNMT3A,FLT3_ITD,NPM1"
57,FLT3,1,"BTK,DNMT3A,NPM1","1,1,1",AUC,152.53,12,61.09,Ibrutinib,"DNMT3A,FLT3_ITD,NPM1"
58,FLT3,1,"DNMT3A,NPM1,SYK","1,1,1",AUC,135.04,11,50.17,Entospletinib,"DNMT3A,FLT3_ITD,NPM1"
59,FLT3,1,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,179.42,11,48.88,Selumetinib,"DNMT3A,FLT3_ITD,NPM1"
60,FLT3,1,"DNMT3A,FLT3,KIT,NPM1","1,1,1,1",AUC,165.41,12,59.08,Midostaurin,"DNMT3A,FLT3_ITD,NPM1"
61,DAB2IP,1,"BCL2,DNMT3A,NPM1","1,1,1",AUC,192.43,3,119.61,Venetoclax,"DNMT3A,NPM1,DAB2IP"
62,DAB2IP,1,"BTK,DNMT3A,NPM1","1,1,1",AUC,212.68,3,23.96,Ibrutinib,"DNMT3A,NPM1,DAB2IP"
63,DAB2IP,1,"DNMT3A,NPM1,SYK","1,1,1",AUC,125.26,3,109.24,Entospletinib,"DNMT3A,NPM1,DAB2IP"
64,DAB2IP,1,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,186.49,3,100.75,Selumetinib,"DNMT3A,NPM1,DAB2IP"
65,DAB2IP,1,"DNMT3A,FLT3,KIT,NPM1","1,1,1,1",AUC,174.36,3,130.63,Midostaurin,"DNMT3A,NPM1,DAB2IP"
66,"FLT3,DAB2IP","1,1","BCL2,DNMT3A,NPM1","1,1,1",AUC,198.28,2,50.51,Venetoclax,"DNMT3A,FLT3_ITD,NPM1,DAB2IP"
67,"FLT3,DAB2IP","1,1","BTK,DNMT3A,NPM1","1,1,1",AUC,204.22,2,8.31,Ibrutinib,"DNMT3A,FLT3_ITD,NPM1,DAB2IP"
68,"FLT3,DAB2IP","1,1","DNMT3A,NPM1,SYK","1,1,1",AUC,190.02,2,20.73,Entospletinib,"DNMT3A,FLT3_ITD,NPM1,DAB2IP"
69,"FLT3,DAB2IP","1,1","DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,140.79,2,130.38,Selumetinib,"DNMT3A,FLT3_ITD,NPM1,DAB2IP"
70,"FLT3,DAB2IP","1,1","DNMT3A,FLT3,KIT,NPM1","1,1,1,1",AUC,232.39,2,35.87,Midostaurin,"DNMT3A,FLT3_ITD,NPM1,DAB2IP"
