Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values,n_patients,std,drug,mutation_profile
37,"FLT3,NRAS","1,1",BTK,1,AUC,210.58,2,36.98,Ibrutinib,"FLT3_ITD,NRAS"
38,"FLT3,NRAS","1,1",SYK,1,AUC,214.77,2,37.36,Entospletinib,"FLT3_ITD,NRAS"
39,"FLT3,NRAS","1,1","MAP2K1,MAP2K2","1,1",AUC,159.96,2,178.70,Selumetinib,"FLT3_ITD,NRAS"
40,"FLT3,NRAS","1,1","FLT3,KIT","1,1",AUC,228.91,2,2.35,Midostaurin,"FLT3_ITD,NRAS"
41,,,"BCL2,DNMT3A,NPM1","1,1,1",AUC,185.61,10,70.93,Venetoclax,"DNMT3A,NPM1"
42,,,"BTK,DNMT3A,NPM1","1,1,1",AUC,183.42,13,32.13,Ibrutinib,"DNMT3A,NPM1"
43,,,"DNMT3A,NPM1,SYK","1,1,1",AUC,162.41,8,26.24,Entospletinib,"DNMT3A,NPM1"
44,,,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,166.41,15,50.31,Selumetinib,"DNMT3A,NPM1"
45,,,"DNMT3A,FLT3,KIT,NPM1","1,1,1,1",AUC,215.81,15,50.14,Midostaurin,"DNMT3A,NPM1"
46,NRAS,1,"BCL2,NPM1","1,1",AUC,136.77,6,109.84,Venetoclax,"NPM1,NRAS"
47,NRAS,1,"BTK,NPM1","1,1",AUC,204.82,6,32.73,Ibrutinib,"NPM1,NRAS"
48,NRAS,1,"NPM1,SYK","1,1",AUC,199.74,4,35.04,Entospletinib,"NPM1,NRAS"
49,NRAS,1,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,167.12,5,59.83,Selumetinib,"NPM1,NRAS"
50,NRAS,1,"FLT3,KIT,NPM1","1,1,1",AUC,210.53,6,35.21,Midostaurin,"NPM1,NRAS"
51,NRAS,1,"BCL2,DNMT3A","1,1",AUC,175.04,7,55.66,Venetoclax,"DNMT3A,NRAS"
52,NRAS,1,"BTK,DNMT3A","1,1",AUC,215.20,8,62.56,Ibrutinib,"DNMT3A,NRAS"
53,NRAS,1,"DNMT3A,SYK","1,1",AUC,212.45,6,42.45,Entospletinib,"DNMT3A,NRAS"
54,NRAS,1,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,151.58,8,68.81,Selumetinib,"DNMT3A,NRAS"
55,NRAS,1,"DNMT3A,FLT3,KIT","1,1,1",AUC,212.64,7,73.06,Midostaurin,"DNMT3A,NRAS"
56,FLT3,1,"BCL2,DNMT3A,NPM1","1,1,1",AUC,147.19,24,74.95,Venetoclax,"DNMT3A,FLT3_ITD,NPM1"
57,FLT3,1,"BTK,DNMT3A,NPM1","1,1,1",AUC,157.73,24,47.83,Ibrutinib,"DNMT3A,FLT3_ITD,NPM1"
58,FLT3,1,"DNMT3A,NPM1,SYK","1,1,1",AUC,147.56,22,48.90,Entospletinib,"DNMT3A,FLT3_ITD,NPM1"
59,FLT3,1,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,192.43,26,59.69,Selumetinib,"DNMT3A,FLT3_ITD,NPM1"
60,FLT3,1,"DNMT3A,FLT3,KIT,NPM1","1,1,1,1",AUC,162.85,26,53.51,Midostaurin,"DNMT3A,FLT3_ITD,NPM1"
61,NRAS,1,"BCL2,DNMT3A,NPM1","1,1,1",AUC,184.42,5,87.91,Venetoclax,"DNMT3A,NPM1,NRAS"
62,NRAS,1,"BTK,DNMT3A,NPM1","1,1,1",AUC,180.01,8,62.79,Ibrutinib,"DNMT3A,NPM1,NRAS"
63,NRAS,1,"DNMT3A,NPM1,SYK","1,1,1",AUC,123.54,5,80.98,Entospletinib,"DNMT3A,NPM1,NRAS"
64,NRAS,1,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,164.90,9,97.46,Selumetinib,"DNMT3A,NPM1,NRAS"
65,NRAS,1,"DNMT3A,FLT3,KIT,NPM1","1,1,1,1",AUC,189.64,8,83.71,Midostaurin,"DNMT3A,NPM1,NRAS"
66,"FLT3,NRAS","1,1","BCL2,DNMT3A,NPM1","1,1,1",AUC,198.28,2,50.51,Venetoclax,"DNMT3A,FLT3_ITD,NPM1,NRAS"
67,"FLT3,NRAS","1,1","BTK,DNMT3A,NPM1","1,1,1",AUC,204.22,2,8.31,Ibrutinib,"DNMT3A,FLT3_ITD,NPM1,NRAS"
68,"FLT3,NRAS","1,1","DNMT3A,NPM1,SYK","1,1,1",AUC,190.02,2,20.73,Entospletinib,"DNMT3A,FLT3_ITD,NPM1,NRAS"
69,"FLT3,NRAS","1,1","DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,140.79,2,130.38,Selumetinib,"DNMT3A,FLT3_ITD,NPM1,NRAS"
70,"FLT3,NRAS","1,1","DNMT3A,FLT3,KIT,NPM1","1,1,1,1",AUC,232.39,2,35.87,Midostaurin,"DNMT3A,FLT3_ITD,NPM1,NRAS"
