node,measured_node,mu,mu_star,sigma
AKT1,Formula,0.005232708969995746,0.013464667440008885,0.04326819142829357
BCL2,Formula,0.0027211667479448637,0.010391603122584534,0.0448925165283932
BTK,Formula,-0.0022827556797560137,0.00986259474325438,0.04162449391372114
CCND1,Formula,-0.0017539451524038467,0.009902084055415053,0.04273284880503017
CDKN2A,Formula,0.02853177465468996,0.03246564323546298,0.0806752417144467
CEBPA,Formula,-0.0006155799855512211,0.011886124616478753,0.0454260014930808
CTNNB1,Formula,-0.0011558828037102273,0.009738926453916538,0.043814156885875644
DNMT3A,Formula,0.0018081807513290733,0.010467413165755012,0.044965642700510684
FBXW7,Formula,-0.0002187976950673216,0.007544656848953359,0.032144856513773586
FLT3,Formula,0.0021924234227618873,0.01081786888739024,0.04614174508236878
GSK3B,Formula,0.0022406508401153283,0.011389151782809866,0.04383286317207325
HOXA9,Formula,-6.759480558094617e-05,0.01195951727679105,0.046851436974324485
MAP2K1,Formula,0.0057462842551553005,0.015779048463091784,0.042663149816737106
MAPK1,Formula,0.0038210554292931924,0.01202734996876647,0.04292853001319254
MEIS1,Formula,0.020542729627832337,0.030984083765716455,0.04661276493143411
MYC,Formula,-0.001017981640320154,0.011948749773927394,0.05049034547488452
NPM1,Formula,0.01299726533872643,0.032967821603197875,0.05081661967215221
STAT5A,Formula,-0.002418621570948274,0.011740534805495832,0.04592642739843021
TP53,Formula,0.004175642273873707,0.01176026217673659,0.044780160573635985
