node,measured_node,baseline_mse,perturbed_mse,mse_change,mse_change_relative,sensitivity_score
AKT1,Formula,0.010681017582509807,0.011117218347402568,0.0004362007648927614,0.04083887715034205,0.04083887715034205
BCL2,Formula,0.010681017582509807,0.011405512970978622,0.0007244953884688148,0.0678301840505513,0.0678301840505513
BTK,Formula,0.010681017582509807,0.011348516571838713,0.000667498989328906,0.06249395099039414,0.06249395099039414
CCND1,Formula,0.010681017582509807,0.010681017582509807,0.0,0.0,0.0
CDKN2A,Formula,0.010681017582509807,0.011045668322664168,0.00036465074015436076,0.03414007488869574,0.03414007488869574
CEBPA,Formula,0.010681017582509807,0.014318546817699718,0.0036375292351899114,0.3405601766957462,0.3405601766957462
CTNNB1,Formula,0.010681017582509807,0.010817902190833447,0.00013688460832364004,0.012815689822268331,0.012815689822268331
DNMT3A,Formula,0.010681017582509807,0.014357805693337172,0.003676788110827365,0.3442357511748801,0.3442357511748801
FBXW7,Formula,0.010681017582509807,0.010882671568171258,0.00020165398566145132,0.01887966049149289,0.01887966049149289
FLT3,Formula,0.010681017582509807,0.012703902821626048,0.002022885239116241,0.18939068524975752,0.18939068524975752
GSK3B,Formula,0.010681017582509807,0.013420975619063056,0.002739958036553249,0.25652593635272514,0.25652593635272514
HOXA9,Formula,0.010681017582509807,0.010677871095898007,-3.1464866118002116e-06,-0.00029458678328107905,0.00029458678328107905
MAP2K1,Formula,0.010681017582509807,0.010678214928700448,-2.802653809358749e-06,-0.00026239576779164765,0.00026239576779164765
MAPK1,Formula,0.010681017582509807,0.014955958340920705,0.004274940758410898,0.40023721760472747,0.40023721760472747
MEIS1,Formula,0.010681017582509807,0.012081156047178779,0.0014001384646689721,0.13108661734268676,0.13108661734268676
MYC,Formula,0.010681017582509807,0.011061909246887464,0.0003808916643776566,0.03566061580137904,0.03566061580137904
NPM1,Formula,0.010681017582509807,0.01212413226992375,0.0014431146874139423,0.13511022487005792,0.13511022487005792
STAT5A,Formula,0.010681017582509807,0.013665547303921244,0.002984529721411437,0.2794237251606637,0.2794237251606637
TP53,Formula,0.010681017582509807,0.011695139892420403,0.0010141223099105964,0.09494622605726483,0.09494622605726483
