Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error,Original_Measured_Value
1,Formula,0.29999999999999993,148.01,-147.70999999999998,147.70999999999998,148.01
2,Formula,0.7850000000000001,192.85,-192.065,192.065,192.85
3,Formula,0.5416861826697892,177.06,-176.5183138173302,176.5183138173302,177.06
4,Formula,0.551651809124279,167.49,-166.93834819087573,166.93834819087573,167.49
5,Formula,0.6424242424242423,192.0,-191.35757575757575,191.35757575757575,192.0
6,Formula,-0.5089820359281436,67.68,-68.18898203592815,68.18898203592815,67.68
7,Formula,0.24401197604790412,160.96,-160.7159880239521,160.7159880239521,160.96
8,Formula,0.4099999999999999,143.85,-143.44,143.44,143.85
9,Formula,0.7099999999999999,197.65,-196.94,196.94,197.65
10,Formula,0.6424242424242423,167.51,-166.86757575757574,166.86757575757574,167.51
11,Formula,-0.13492063492063494,125.95,-126.08492063492064,126.08492063492064,125.95
12,Formula,0.71,182.98,-182.26999999999998,182.26999999999998,182.98
13,Formula,0.7450980392156863,184.96,-184.21490196078432,184.21490196078432,184.96
14,Formula,1.1391509433962264,210.9,-209.76084905660377,209.76084905660377,210.9
15,Formula,0.5800000000000001,219.58,-219.0,219.0,219.58
16,Formula,0.11000000000000004,144.5,-144.39,144.39,144.5
17,Formula,0.99,200.52,-199.53,199.53,200.52
18,Formula,0.8068181818181819,191.2,-190.3931818181818,190.3931818181818,191.2
19,Formula,0.45999999999999996,187.35,-186.89,186.89,187.35
20,Formula,0.9117647058823529,190.2,-189.28823529411764,189.28823529411764,190.2
21,Formula,-0.8872180451127817,62.1,-62.98721804511278,62.98721804511278,62.1
22,Formula,-0.16000000000000003,140.41,-140.57,140.57,140.41
23,Formula,-0.050000000000000044,120.19,-120.24,120.24,120.19
24,Formula,0.8900000000000001,207.8,-206.91000000000003,206.91000000000003,207.8
25,Formula,0.5800000000000001,148.12,-147.54,147.54,148.12
26,Formula,0.1399999999999999,140.49,-140.35000000000002,140.35000000000002,140.49
27,Formula,0.6099999999999999,192.59,-191.98,191.98,192.59
28,Formula,0.528443113772455,183.65,-183.12155688622755,183.12155688622755,183.65
29,Formula,0.8599999999999999,199.5,-198.64,198.64,199.5
30,Formula,0.3627450980392156,169.45,-169.08725490196076,169.08725490196076,169.45
31,Formula,0.39999999999999997,196.18,-195.78,195.78,196.18
32,Formula,1.0999999999999999,193.46,-192.36,192.36,193.46
33,Formula,0.44999999999999996,145.95,-145.5,145.5,145.95
34,Formula,0.6636363636363638,164.1,-163.43636363636364,163.43636363636364,164.1
35,Formula,0.7200000000000001,192.22,-191.5,191.5,192.22
36,Formula,0.030000000000000027,155.5,-155.47,155.47,155.5
37,Formula,0.8000000000000002,159.91,-159.10999999999999,159.10999999999999,159.91
38,Formula,0.17272727272727256,143.5,-143.3272727272727,143.3272727272727,143.5
39,Formula,0.5899999999999999,173.48,-172.89,172.89,173.48
40,Formula,0.29,174.98,-174.69,174.69,174.98
