Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error,Original_Measured_Value
6,Formula,-0.12931034482758608,106.12,-106.24931034482759,106.24931034482759,106.12
7,Formula,0.4482758620689655,169.87,-169.42172413793105,169.42172413793105,169.87
8,Formula,0.29999999999999993,152.86,-152.56,152.56,152.86
9,Formula,0.53,190.5,-189.97,189.97,190.5
10,Formula,0.12830188679245283,155.56,-155.43169811320755,155.43169811320755,155.56
11,Formula,-0.03999999999999987,137.37,-137.41,137.41,137.37
12,Formula,0.5900000000000001,185.31,-184.72,184.72,185.31
13,Formula,0.4666666666666667,181.86,-181.39333333333335,181.39333333333335,181.86
14,Formula,0.9275362318840579,210.19,-209.26246376811594,209.26246376811594,210.19
15,Formula,0.559633027522936,214.32,-213.76036697247704,213.76036697247704,214.32
16,Formula,0.25984251968503935,163.84,-163.58015748031497,163.58015748031497,163.84
17,Formula,0.9606299212598426,205.68,-204.71937007874016,204.71937007874016,205.68
18,Formula,0.6400000000000001,190.34,-189.70000000000002,189.70000000000002,190.34
19,Formula,0.5203252032520327,191.1,-190.57967479674795,190.57967479674795,191.1
20,Formula,0.9,202.61,-201.71,201.71,202.61
21,Formula,-0.4305555555555555,95.32,-95.75055555555555,95.75055555555555,95.32
22,Formula,0.1736111111111111,169.77,-169.5963888888889,169.5963888888889,169.77
23,Formula,0.22999999999999998,136.91,-136.68,136.68,136.91
24,Formula,0.8799999999999999,211.61,-210.73000000000002,210.73000000000002,211.61
25,Formula,0.559633027522936,157.14,-156.58036697247704,156.58036697247704,157.14
26,Formula,0.31999999999999995,151.24,-150.92000000000002,150.92000000000002,151.24
27,Formula,0.68,207.76,-207.07999999999998,207.07999999999998,207.76
28,Formula,0.5844062947067239,187.2,-186.61559370529326,186.61559370529326,187.2
29,Formula,0.6299999999999996,194.31,-193.68,193.68,194.31
30,Formula,0.52,170.42,-169.89999999999998,169.89999999999998,170.42
31,Formula,0.4234234234234234,185.21,-184.78657657657658,184.78657657657658,185.21
32,Formula,0.9459459459459459,182.12,-181.17405405405407,181.17405405405407,182.12
33,Formula,0.37999999999999995,147.46,-147.08,147.08,147.46
34,Formula,0.55,165.84,-165.29,165.29,165.84
35,Formula,0.67,206.71,-206.04000000000002,206.04000000000002,206.71
36,Formula,0.12,151.12,-151.0,151.0,151.12
37,Formula,0.5800000000000003,161.31,-160.73,160.73,161.31
38,Formula,0.29,151.1,-150.81,150.81,151.1
39,Formula,0.7975285171102662,188.74,-187.94247148288974,187.94247148288974,188.74
40,Formula,0.4,167.81,-167.41,167.41,167.81
