Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error,Original_Predicted_Value,Original_Measured_Value
1,Formula,0.61585804492047,0.4918323413954666,0.12402570352500342,0.12402570352500342,1.5500000000000003,152.13
2,Formula,0.8251938294301016,0.8437381284031911,-0.018544298973089512,0.018544298973089512,2.52,207.71
3,Formula,0.0,0.725212105862986,-0.725212105862986,0.725212105862986,-1.3037037037037038,188.99
4,Formula,0.7787801443250119,0.7759275674306698,0.0028525768943420404,0.0028525768943420404,2.3049327354260085,197.0
5,Formula,0.648498201250949,0.7880840825629986,-0.13958588131204952,0.13958588131204952,1.7012448132780082,198.92
6,Formula,0.4792187369496866,0.21267569963277197,0.26654303731691464,0.26654303731691464,0.9168539325842697,108.04
7,Formula,0.6533217061121044,0.5909839179435228,0.0623377881685816,0.0623377881685816,1.7235955056179775,167.79
8,Formula,0.625767691778174,0.4674559959478283,0.15831169583034577,0.15831169583034577,1.595918367346939,148.28
9,Formula,0.7206496227983407,0.7442066607572496,-0.023557037958908955,0.023557037958908955,2.0355731225296445,191.99
10,Formula,0.648498201250949,0.49145245029758133,0.1570457509533677,0.1570457509533677,1.7012448132780082,152.07
11,Formula,0.34825353688753896,0.39894896796251744,-0.05069543107497848,0.05069543107497848,0.31,137.46
12,Formula,0.561905523139637,0.6829175636317589,-0.12101204049212189,0.12101204049212189,1.3,182.31
13,Formula,0.6343827836128484,0.6654425731290364,-0.03105978951618804,0.03105978951618804,1.6358381502890174,179.55
14,Formula,0.9050672770599236,0.8953400025326075,0.009727274527316143,0.009727274527316143,2.8901098901098905,215.86
15,Formula,0.7103000133875997,0.8893250601494237,-0.17902504676182396,0.17902504676182396,1.9876160990712077,214.91
16,Formula,0.528616598769601,0.542294542231227,-0.013677943461625985,0.013677943461625985,1.145748987854251,160.1
17,Formula,0.7522902113346732,0.8108142332531342,-0.058524021918460956,0.058524021918460956,2.182186234817814,202.51
18,Formula,0.6068079444927174,0.6812713688742561,-0.07446342438153875,0.07446342438153875,1.5080645161290318,182.05
19,Formula,0.7595679438457793,0.8295555274154741,-0.06998758356969481,0.06998758356969481,2.215909090909091,205.47
20,Formula,0.5101111022300375,0.7937191338482968,-0.2836080316182593,0.2836080316182593,1.0599999999999998,199.81
21,Formula,0.6374390536328031,0.5935798404457389,0.043859213187064205,0.043859213187064205,1.65,168.2
22,Formula,0.8338262329150348,0.8778650120298847,-0.04403877911484988,0.04403877911484988,2.56,213.1
23,Formula,0.7558745893974748,0.7797897935925036,-0.023915204195028794,0.023915204195028794,2.1987951807228914,197.61
24,Formula,0.465743844700673,0.3107509180701532,0.15499292663051978,0.15499292663051978,0.8544152744630072,123.53
25,Formula,0.8228395375705743,0.9332024819551727,-0.11036294438459848,0.11036294438459848,2.5090909090909093,221.84
26,Formula,0.3929322382062299,0.13213878688109404,0.26079345132513587,0.26079345132513587,0.5170278637770898,95.32
27,Formula,0.5989428992888735,0.6035203241737369,-0.004577424884863457,0.004577424884863457,1.4716202270381835,169.77
28,Formula,0.6374390536328031,0.39546663289856904,0.24197242073423403,0.24197242073423403,1.65,136.91
29,Formula,0.7087820969973607,0.868431049765734,-0.15964895276837332,0.15964895276837332,1.9805825242718444,211.61
30,Formula,0.7103000133875997,0.5235532480688868,0.18674676531871293,0.18674676531871293,1.9876160990712077,157.14
31,Formula,0.464790983934138,0.4861972901101685,-0.02140630617603051,0.02140630617603051,0.8500000000000001,151.24
32,Formula,0.6590200623451363,0.8440547043180955,-0.18503464197295916,0.18503464197295916,1.7500000000000002,207.76
33,Formula,0.695934945668864,0.7138786881094086,-0.01794374244054453,0.01794374244054453,1.9210526315789473,187.2
34,Formula,0.5360083126848374,0.7588957832088135,-0.22288747052397606,0.22288747052397606,1.1800000000000002,194.31
