Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error,Original_Measured_Value
1,Formula,0.5783132530120481,155.79,-155.21168674698794,155.21168674698794,155.79
2,Formula,1.1666666666666667,208.86,-207.69333333333336,207.69333333333336,208.86
3,Formula,0.7697532261716098,190.9,-190.1302467738284,190.1302467738284,190.9
4,Formula,0.7882627542514173,182.7,-181.91173724574858,181.91173724574858,182.7
5,Formula,0.921875,203.41,-202.488125,202.488125,203.41
11,Formula,0.1461538461538463,137.37,-137.22384615384615,137.22384615384615,137.37
12,Formula,0.8999999999999999,185.31,-184.41,184.41,185.31
13,Formula,0.8333333333333333,181.86,-181.02666666666667,181.02666666666667,181.86
14,Formula,1.203728362183755,210.19,-208.98627163781623,208.98627163781623,210.19
15,Formula,0.7515151515151516,214.32,-213.56848484848484,213.56848484848484,214.32
16,Formula,0.41,163.84,-163.43,163.43,163.84
17,Formula,1.1800000000000002,205.68,-204.5,204.5,205.68
18,Formula,1.016806722689076,190.34,-189.32319327731093,189.32319327731093,190.34
19,Formula,0.85,191.1,-190.25,190.25,191.1
20,Formula,1.0500000000000003,202.61,-201.56,201.56,202.61
21,Formula,-0.36000000000000004,95.32,-95.67999999999999,95.67999999999999,95.32
22,Formula,0.35999999999999993,169.77,-169.41,169.41,169.77
23,Formula,0.2699386503067488,136.91,-136.64006134969324,136.64006134969324,136.91
24,Formula,1.1300000000000003,211.61,-210.48000000000002,210.48000000000002,211.61
25,Formula,0.7515151515151516,157.14,-156.38848484848484,156.38848484848484,157.14
26,Formula,0.4600000000000001,151.24,-150.78,150.78,151.24
27,Formula,0.92,207.76,-206.84,206.84,207.76
28,Formula,0.823943661971831,187.2,-186.37605633802815,186.37605633802815,187.2
29,Formula,0.8599999999999998,194.31,-193.45,193.45,194.31
30,Formula,0.5700000000000001,170.42,-169.85,169.85,170.42
31,Formula,0.4480519480519481,185.21,-184.76194805194805,184.76194805194805,185.21
32,Formula,1.12987012987013,182.12,-180.99012987012986,180.99012987012986,182.12
33,Formula,0.45000000000000007,147.46,-147.01000000000002,147.01000000000002,147.46
34,Formula,0.76,165.84,-165.08,165.08,165.84
35,Formula,1.0,206.71,-205.71,205.71,206.71
36,Formula,0.10999999999999999,151.12,-151.01,151.01,151.12
37,Formula,0.7799999999999998,161.31,-160.53,160.53,161.31
38,Formula,0.4095238095238095,151.1,-150.69047619047618,150.69047619047618,151.1
39,Formula,0.9272030651340998,188.74,-187.8127969348659,187.8127969348659,188.74
40,Formula,0.5799999999999998,167.81,-167.23,167.23,167.81
