subject_id	object_id	subject_id_prefix	object_id_prefix	subject_name	object_name	predicate	Primary_Knowledge_Source	Knowledge_Source	publications	subject_category	object_category	score
P62854	SIGNOR-C286	UNIPROT	SIGNOR	RPS26	40S cytosolic small ribosomal subunit	form complex	SIGNOR	SIGNOR	25901680	protein	complex	0.888
Q14832	P63092	UNIPROT	UNIPROT	GRM3	GNAS	up-regulates activity	SIGNOR	SIGNOR	20055706	protein	protein	0.349
Q13616	SIGNOR-C136	UNIPROT	SIGNOR	CUL1	SCF-SKP2	form complex	SIGNOR	SIGNOR	15340381	protein	complex	0.945
Q86YC2	Q9Y253	UNIPROT	UNIPROT	PALB2	POLH	up-regulates	SIGNOR	SIGNOR	24485656	protein	protein	0.537
CHEBI:93773	P10398	ChEBI	UNIPROT	2-chloro-5-(2-phenyl-5-pyridin-4-yl-1H-imidazol-4-yl)phenol	ARAF	down-regulates	SIGNOR	SIGNOR	12970777	chemical	protein	0.8
P68400	P37840	UNIPROT	UNIPROT	CSNK2A1	SNCA	down-regulates activity	SIGNOR	SIGNOR	10617630	protein	protein	0.513
Q9UL26	SIGNOR-C246	UNIPROT	SIGNOR	RAB22A	Early Endosome	form complex	SIGNOR	SIGNOR	19924646	protein	complex	0.48
P16298	Q13469	UNIPROT	UNIPROT	PPP3CB	NFATC2	up-regulates activity	SIGNOR	SIGNOR	11030334	protein	protein	0.614
P17252	P08670	UNIPROT	UNIPROT	PRKCA	VIM	down-regulates quantity by destabilization	SIGNOR	SIGNOR	2500966	protein	protein	0.284
P09601	SIGNOR-PH2	UNIPROT	SIGNOR	HMOX1	Apoptosis	down-regulates	SIGNOR	SIGNOR	21037234	protein	phenotype	0.7
Q92754	P29373	UNIPROT	UNIPROT	TFAP2C	CRABP2	up-regulates quantity by expression	SIGNOR	SIGNOR	17187826	protein	protein	0.25
CHEBI:135686	P41145	ChEBI	UNIPROT	alvimopan	OPRK1	down-regulates activity	SIGNOR	SIGNOR	18313920	chemical	protein	0.8
Q15120	P08559	UNIPROT	UNIPROT	PDK3	PDHA1	down-regulates activity	SIGNOR	SIGNOR	11485553	protein	protein	0.871
P43694	P81172	UNIPROT	UNIPROT	GATA4	HAMP	up-regulates quantity by expression	SIGNOR	SIGNOR	21609320	protein	protein	0.2
Q9ULW0	P52732	UNIPROT	UNIPROT	TPX2	KIF11	down-regulates activity	SIGNOR	SIGNOR	26018074	protein	protein	0.498
P47914	SIGNOR-C287	UNIPROT	SIGNOR	RPL29	60S cytosolic large ribosomal subunit	form complex	SIGNOR	SIGNOR	25901680	protein	complex	0.863
P60891	CHEBI:58017	UNIPROT	ChEBI	PRPS1	5-phospho-α-D-ribose 1-diphosphate	up-regulates quantity	SIGNOR	SIGNOR	16939420	protein	smallmolecule	0.8
P18505	SIGNOR-C332	UNIPROT	SIGNOR	GABRB1	GABA-A (a3-b1-g2) receptor	form complex	SIGNOR	SIGNOR	18790874	protein	complex	0.615
O15534	SIGNOR-C431	UNIPROT	SIGNOR	PER1	BMAL1/NPAS2	down-regulates activity	SIGNOR	SIGNOR	20817722	protein	complex	0.717
P05231	P08887	UNIPROT	UNIPROT	IL6	IL6R	up-regulates	SIGNOR	SIGNOR	23663276	protein	protein	0.918
Q5T0T0	P13762	UNIPROT	UNIPROT	MARCHF8	HLA-DRB4	down-regulates quantity by destabilization	SIGNOR	SIGNOR	19117940	protein	protein	0.2
P05093	CHEBI:16422	UNIPROT	ChEBI	CYP17A1	androst-4-ene-3,17-dione	up-regulates quantity	SIGNOR	SIGNOR	17192295	protein	smallmolecule	0.8
P49840	P05412	UNIPROT	UNIPROT	GSK3A	JUN	down-regulates	SIGNOR	SIGNOR	1846781	protein	protein	0.331
P45983	P35568	UNIPROT	UNIPROT	MAPK8	IRS1	down-regulates quantity by destabilization	SIGNOR	SIGNOR	12510059	protein	protein	0.771
Q8IW41	O00418	UNIPROT	UNIPROT	MAPKAPK5	EEF2K	unknown	SIGNOR	SIGNOR	12171600	protein	protein	0.296
P51812	P05204	UNIPROT	UNIPROT	RPS6KA3	HMGN2	down-regulates activity	SIGNOR	SIGNOR	11438671	protein	protein	0.291
Q13177	P05412	UNIPROT	UNIPROT	PAK2	JUN	up-regulates	SIGNOR	SIGNOR	21177766	protein	protein	0.268
P68400	P21673	UNIPROT	UNIPROT	CSNK2A1	SAT1	unknown	SIGNOR	SIGNOR	8954982	protein	protein	0.326
Q9NR28	O15392	UNIPROT	UNIPROT	DIABLO	BIRC5	down-regulates	SIGNOR	SIGNOR	17546047	protein	protein	0.571
Q14774	P18146	UNIPROT	UNIPROT	HLX	EGR1	down-regulates quantity by repression	SIGNOR	SIGNOR	20008130	protein	protein	0.262
P09429	O00206	UNIPROT	UNIPROT	HMGB1	TLR4	up-regulates activity	SIGNOR	SIGNOR	20547845	protein	protein	0.802
SIGNOR-C219	SIGNOR-C110	SIGNOR	SIGNOR	LPR5/6	GSK3B/Axin/APC	down-regulates activity	SIGNOR	SIGNOR	19107203	complex	complex	0.707
P19338	P10243	UNIPROT	UNIPROT	NCL	MYBL1	down-regulates activity	SIGNOR	SIGNOR	10660576	protein	protein	0.418
CHEBI:28750	CHEBI:28689	ChEBI	ChEBI	17alpha-hydroxypregnenolone	dehydroepiandrosterone	up-regulates quantity	SIGNOR	SIGNOR	17192295	smallmolecule	chemical	0.8
O15530	O15530	UNIPROT	UNIPROT	PDPK1	PDPK1	unknown	SIGNOR	SIGNOR	10455013	protein	protein	0.2
Q6PHR2	P53990	UNIPROT	UNIPROT	ULK3	IST1	down-regulates activity	SIGNOR	SIGNOR	26011858	protein	protein	0.626
CHEBI:2704	P11511	ChEBI	UNIPROT	anastrozole	CYP19A1	down-regulates	SIGNOR	SIGNOR	Other	chemical	protein	0.8
P31749	Q16875	UNIPROT	UNIPROT	AKT1	PFKFB3	up-regulates	SIGNOR	SIGNOR	15896703	protein	protein	0.427
SIGNOR-PH126	P13500	SIGNOR	UNIPROT	Macrophage_activation	CCL2	up-regulates quantity	SIGNOR	SIGNOR	32283152	phenotype	protein	0.7
Q92769	Q5VUA4	UNIPROT	UNIPROT	HDAC2	ZNF318	up-regulates activity	SIGNOR	SIGNOR	16469430	protein	protein	0.33
O43497	SIGNOR-PH133	UNIPROT	SIGNOR	CACNA1G	Excitatory_synaptic_transmission	up-regulates	SIGNOR	SIGNOR	30849329	protein	phenotype	0.7
O60216	P04114	UNIPROT	UNIPROT	RAD21	APOB	down-regulates quantity	SIGNOR	SIGNOR	25575569	protein	protein	0.2
O00712	O75093	UNIPROT	UNIPROT	NFIB	SLIT1	up-regulates quantity	SIGNOR	SIGNOR	31838646	protein	protein	0.249
P23470	P20701	UNIPROT	UNIPROT	PTPRG	ITGAL	down-regulates activity	SIGNOR	SIGNOR	25624455	protein	protein	0.2
P08151	SIGNOR-PH33	UNIPROT	SIGNOR	GLI1	Cell_growth	up-regulates	SIGNOR	SIGNOR	3563490	protein	phenotype	0.7
Q12778	P32189	UNIPROT	UNIPROT	FOXO1	GK	down-regulates quantity by repression	SIGNOR	SIGNOR	18805788	protein	protein	0.25
P27338	CHEBI:28790	UNIPROT	ChEBI	MAOB	serotonin	down-regulates quantity	SIGNOR	SIGNOR	31024440	protein	smallmolecule	0.8
CHEBI:51098	P35968	ChEBI	UNIPROT	motesanib	KDR	down-regulates	SIGNOR	SIGNOR	Other	chemical	protein	0.8
A0JLT2	SIGNOR-C405	UNIPROT	SIGNOR	MED19	Core mediator complex	form complex	SIGNOR	SIGNOR	28467824	protein	complex	0.852
P28482	Q9NXR1	UNIPROT	UNIPROT	MAPK1	NDE1	up-regulates activity	SIGNOR	SIGNOR	12556484	protein	protein	0.375
P02679	P04275	UNIPROT	UNIPROT	FGG	VWF	down-regulates activity	SIGNOR	SIGNOR	2243140	protein	protein	0.497
P10586	P06213	UNIPROT	UNIPROT	PTPRF	INSR	down-regulates	SIGNOR	SIGNOR	10734133	protein	protein	0.577
SIGNOR-PF81	CHEBI:58225	SIGNOR	ChEBI	G6P	alpha-D-glucose 6-phosphate(2-)	down-regulates quantity	SIGNOR	SIGNOR	12093795	proteinfamily	smallmolecule	0.8
Q5VWQ8	O60674	UNIPROT	UNIPROT	DAB2IP	JAK2	down-regulates activity	SIGNOR	SIGNOR	27858941	protein	protein	0.349
SIGNOR-PF4	P17302	SIGNOR	UNIPROT	Gbeta	GJA1	down-regulates activity	SIGNOR	SIGNOR	9535909	proteinfamily	protein	0.2
Q9H4B4	P37840	UNIPROT	UNIPROT	PLK3	SNCA	down-regulates activity	SIGNOR	SIGNOR	19889641	protein	protein	0.319
P24941	P18858	UNIPROT	UNIPROT	CDK2	LIG1	up-regulates activity	SIGNOR	SIGNOR	12851383	protein	protein	0.457
Q13233	P52564	UNIPROT	UNIPROT	MAP3K1	MAP2K6	up-regulates	SIGNOR	SIGNOR	9712898	protein	protein	0.453
Q9P1W9	O95644	UNIPROT	UNIPROT	PIM2	NFATC1	up-regulates activity	SIGNOR	SIGNOR	31730483	protein	protein	0.261
P61964	SIGNOR-C413	UNIPROT	SIGNOR	WDR5	NSL histone acetyltransferase	form complex	SIGNOR	SIGNOR	20018852	protein	complex	0.662
SIGNOR-PF24	P49815	SIGNOR	UNIPROT	AKT	TSC2	down-regulates activity	SIGNOR	SIGNOR	12150915	proteinfamily	protein	0.2
P16298	Q13469	UNIPROT	UNIPROT	PPP3CB	NFATC2	up-regulates activity	SIGNOR	SIGNOR	11030334	protein	protein	0.614
SIGNOR-PF17	P48764	SIGNOR	UNIPROT	PKA	SLC9A3	down-regulates activity	SIGNOR	SIGNOR	38047302	proteinfamily	protein	0.2
P08575	P52333	UNIPROT	UNIPROT	PTPRC	JAK3	up-regulates	SIGNOR	SIGNOR	11994288	protein	protein	0.457
Q8IXW5	P24928	UNIPROT	UNIPROT	RPAP2	POLR2A	up-regulates activity	SIGNOR	SIGNOR	22137580	protein	protein	0.737
Q99558	P11413	UNIPROT	UNIPROT	MAP3K14	G6PD	up-regulates activity	SIGNOR	SIGNOR	33398181	protein	protein	0.2
Q13315	Q00987	UNIPROT	UNIPROT	ATM	MDM2	down-regulates activity	SIGNOR	SIGNOR	17936559	protein	protein	0.754
SIGNOR-C529	Q06609	SIGNOR	UNIPROT	Cullin 1-RBX1-Skp1	RAD51	up-regulates activity	SIGNOR	SIGNOR	25585578	complex	protein	0.271
Q15139	P48426	UNIPROT	UNIPROT	PRKD1	PIP4K2A	down-regulates	SIGNOR	SIGNOR	16563698	protein	protein	0.2
SIGNOR-C15	P48764	SIGNOR	UNIPROT	AMPK	SLC9A3	down-regulates activity	SIGNOR	SIGNOR	38047302	complex	protein	0.2
Q14469	P37231	UNIPROT	UNIPROT	HES1	PPARG	down-regulates quantity by repression	SIGNOR	SIGNOR	14614508	protein	protein	0.248
P42574	P09874	UNIPROT	UNIPROT	CASP3	PARP1	down-regulates activity	SIGNOR	SIGNOR	11907276	protein	protein	0.775
O95278	P49841	UNIPROT	UNIPROT	EPM2A	GSK3B	unknown	SIGNOR	SIGNOR	16959610	protein	protein	0.463
P35916	P51812	UNIPROT	UNIPROT	FLT4	RPS6KA3	down-regulates	SIGNOR	SIGNOR	12601080	protein	protein	0.2
SIGNOR-PF17	Q96RR4	SIGNOR	UNIPROT	PKA	CAMKK2	down-regulates	SIGNOR	SIGNOR	22778263	proteinfamily	protein	0.2
Q9P0L2	P11137	UNIPROT	UNIPROT	MARK1	MAP2	down-regulates activity	SIGNOR	SIGNOR	8631898	protein	protein	0.419
P49789	Q00987	UNIPROT	UNIPROT	FHIT	MDM2	down-regulates	SIGNOR	SIGNOR	15313915	protein	protein	0.429
CHEBI:9943	P31645	ChEBI	UNIPROT	venlafaxine	SLC6A4	down-regulates activity	SIGNOR	SIGNOR	20378347	chemical	protein	0.8
Q96QT6	Q08117	UNIPROT	UNIPROT	PHF12	TLE5	up-regulates activity	SIGNOR	SIGNOR	11390640	protein	protein	0.2
O14965	O95983	UNIPROT	UNIPROT	AURKA	MBD3	up-regulates	SIGNOR	SIGNOR	12354758	protein	protein	0.287
P68400	Q14761	UNIPROT	UNIPROT	CSNK2A1	PTPRCAP	up-regulates quantity by stabilization	SIGNOR	SIGNOR	30482149	protein	protein	0.2
SIGNOR-C2	P31749	SIGNOR	UNIPROT	mTORC2	AKT1	up-regulates activity	SIGNOR	SIGNOR	15718470	complex	protein	0.641
P12931	P62993	UNIPROT	UNIPROT	SRC	GRB2	unknown	SIGNOR	SIGNOR	20554525	protein	protein	0.642
Q92847	P19086	UNIPROT	UNIPROT	GHSR	GNAZ	up-regulates activity	SIGNOR	SIGNOR	31160049	protein	protein	0.25
P00505	CHEBI:29991	UNIPROT	ChEBI	GOT2	L-aspartate(1-)	up-regulates quantity	SIGNOR	SIGNOR	31422819	protein	smallmolecule	0.8
SIGNOR-PF1	Q01860	SIGNOR	UNIPROT	ERK1/2	POU5F1	down-regulates	SIGNOR	SIGNOR	23024368	proteinfamily	protein	0.2
SIGNOR-PF1	SIGNOR-PF26	SIGNOR	SIGNOR	ERK1/2	RPS6K	up-regulates activity	SIGNOR	SIGNOR	9430688	proteinfamily	proteinfamily	0.766
P68400	Q92915	UNIPROT	UNIPROT	CSNK2A1	FGF14	up-regulates activity	SIGNOR	SIGNOR	26917740	protein	protein	0.269
Q9C0F0	P45973	UNIPROT	UNIPROT	ASXL3	CBX5	down-regulates activity	SIGNOR	SIGNOR	25450400	protein	protein	0.251
P35557	CHEBI:17925	UNIPROT	ChEBI	GCK	α-D-glucose	down-regulates quantity	SIGNOR	SIGNOR	16051738	protein	smallmolecule	0.8
O14965	P04637	UNIPROT	UNIPROT	AURKA	TP53	down-regulates	SIGNOR	SIGNOR	15469940	protein	protein	0.777
SIGNOR-C344	Q99880	SIGNOR	UNIPROT	MSL acetyltransferase	H2BC13	down-regulates activity	SIGNOR	SIGNOR	21726816	complex	protein	0.2
Q9H477	CHEBI:47013	UNIPROT	ChEBI	RBKS	D-ribofuranose	down-regulates quantity	SIGNOR	SIGNOR	25749547	protein	smallmolecule	0.8
CHEBI:26271	CHEBI:29154	ChEBI	ChEBI	proline	Pro-tRNA(Pro)	up-regulates quantity	SIGNOR	SIGNOR	28271488	smallmolecule	smallmolecule	0.8
SIGNOR-PF17	O75581	SIGNOR	UNIPROT	PKA	LRP6	up-regulates activity	SIGNOR	SIGNOR	21406690	proteinfamily	protein	0.2
P54198	SIGNOR-C461	UNIPROT	SIGNOR	HIRA	HIRA complex 1	form complex	SIGNOR	SIGNOR	30285846	protein	complex	0.698
P53350	P25490	UNIPROT	UNIPROT	PLK1	YY1	up-regulates	SIGNOR	SIGNOR	23226345	protein	protein	0.391
Q13177	P62753	UNIPROT	UNIPROT	PAK2	RPS6	unknown	SIGNOR	SIGNOR	1985906	protein	protein	0.31
P25105	P38405	UNIPROT	UNIPROT	PTAFR	GNAL	up-regulates activity	SIGNOR	SIGNOR	31160049	protein	protein	0.2
Q06124	P21802	UNIPROT	UNIPROT	PTPN11	FGFR2	down-regulates activity	SIGNOR	SIGNOR	23420874	protein	protein	0.62
Q9Y3A5	Q7Z2Z2	UNIPROT	UNIPROT	SBDS	EFL1	up-regulates	SIGNOR	SIGNOR	21536732	protein	protein	0.2
O00187	P06681	UNIPROT	UNIPROT	MASP2	C2	up-regulates activity	SIGNOR	SIGNOR	11907111	protein	protein	0.434
SIGNOR-C529	Q9UKC9	SIGNOR	UNIPROT	Cullin 1-RBX1-Skp1	FBXL2	down-regulates quantity by destabilization	SIGNOR	SIGNOR	25721664	complex	protein	0.622
P49765	SIGNOR-PH46	UNIPROT	SIGNOR	VEGFB	Angiogenesis	up-regulates	SIGNOR	SIGNOR	17326328	protein	phenotype	0.7
P08686	CHEBI:17026	UNIPROT	ChEBI	CYP21A2	progesterone	down-regulates quantity	SIGNOR	SIGNOR	25855791	protein	smallmolecule	0.8
P58012	P49675	UNIPROT	UNIPROT	FOXL2	STAR	down-regulates quantity by repression	SIGNOR	SIGNOR	21862621	protein	protein	0.359
CID:49848070	Q99835	PUBCHEM	UNIPROT	LY2940680	SMO	down-regulates	SIGNOR	SIGNOR	Other	chemical	protein	0.8
P24723	P09211	UNIPROT	UNIPROT	PRKCH	GSTP1	up-regulates activity	SIGNOR	SIGNOR	15604283	protein	protein	0.2
P05771	Q5JVS0	UNIPROT	UNIPROT	PRKCB	HABP4	down-regulates activity	SIGNOR	SIGNOR	14699138	protein	protein	0.291
O75582	P18846	UNIPROT	UNIPROT	RPS6KA5	ATF1	up-regulates activity	SIGNOR	SIGNOR	12414794	protein	protein	0.689
O15530	SIGNOR-PF24	UNIPROT	SIGNOR	PDPK1	AKT	up-regulates activity	SIGNOR	SIGNOR	15743829	protein	proteinfamily	0.749
P19793	SIGNOR-PF45	UNIPROT	SIGNOR	RXRA	RAR	up-regulates	SIGNOR	SIGNOR	1310351	protein	proteinfamily	0.726
CID:9549297	P08581	PUBCHEM	UNIPROT	SU11274	MET	down-regulates	SIGNOR	SIGNOR	Other	chemical	protein	0.8
Q9UKC9	SIGNOR-C526	UNIPROT	SIGNOR	FBXL2	Cullin 3-RBX1-Skp1	up-regulates	SIGNOR	SIGNOR	23604317	protein	complex	0.498
SIGNOR-C73	P32243	SIGNOR	UNIPROT	SOX2/POU5F1	OTX2	up-regulates quantity by expression	SIGNOR	SIGNOR	31583686	complex	protein	0.461
P16333	P00519	UNIPROT	UNIPROT	NCK1	ABL1	down-regulates activity	SIGNOR	SIGNOR	11494134	protein	protein	0.401
Q9H4A6	P42345	UNIPROT	UNIPROT	GOLPH3	MTOR	up-regulates activity	SIGNOR	SIGNOR	19553991	protein	protein	0.331
Q12913	P40198	UNIPROT	UNIPROT	PTPRJ	CEACAM3	down-regulates activity	SIGNOR	SIGNOR	35850306	protein	protein	0.386
Q96R06	Q02224	UNIPROT	UNIPROT	SPAG5	CENPE	up-regulates activity	SIGNOR	SIGNOR	17664331	protein	protein	0.378
O00308	P11161	UNIPROT	UNIPROT	WWP2	EGR2	down-regulates quantity	SIGNOR	SIGNOR	19651900	protein	protein	0.373
P18848	Q6PI48	UNIPROT	UNIPROT	ATF4	DARS2	up-regulates quantity by expression	SIGNOR	SIGNOR	33384352	protein	protein	0.2
SIGNOR-C480	SIGNOR-PH201	SIGNOR	SIGNOR	U1 snRNP complex	RNA_splicing	up-regulates	SIGNOR	SIGNOR	30765414	complex	phenotype	0.7
Q9BXM7	O43464	UNIPROT	UNIPROT	PINK1	HTRA2	up-regulates	SIGNOR	SIGNOR	17906618	protein	protein	0.608
SIGNOR-PF1	SIGNOR-PH91	SIGNOR	SIGNOR	ERK1/2	T-reg_differentiation	down-regulates	SIGNOR	SIGNOR	23620016	proteinfamily	phenotype	0.7
Q9BQB6	CHEBI:28384	UNIPROT	ChEBI	VKORC1	vitamin K	down-regulates quantity	SIGNOR	SIGNOR	31226734	protein	smallmolecule	0.8
O00330	P01308	UNIPROT	UNIPROT	PDHX	INS	up-regulates quantity by expression	SIGNOR	SIGNOR	12783165	protein	protein	0.288
O75636	O00187	UNIPROT	UNIPROT	FCN3	MASP2	up-regulates activity	SIGNOR	SIGNOR	17204478	protein	protein	0.517
O75385	P06733	UNIPROT	UNIPROT	ULK1	ENO1	down-regulates activity	SIGNOR	SIGNOR	27153534	protein	protein	0.2
O15111	P25963	UNIPROT	UNIPROT	CHUK	NFKBIA	down-regulates quantity by destabilization	SIGNOR	SIGNOR	9346241	protein	protein	0.896
CID:44465558	Q9UHD2	PUBCHEM	UNIPROT	N-[3-[[5-Cyclopropyl-2-(4-morpholin-4-ylanilino)pyrimidin-4-yl]amino]propyl]cyclobutanecarboxamide	TBK1	down-regulates activity	SIGNOR	SIGNOR	23099093	chemical	protein	0.8
O00470	SIGNOR-PH109	UNIPROT	SIGNOR	MEIS1	Cell_death	down-regulates	SIGNOR	SIGNOR	19109563	protein	phenotype	0.7
P68400	Q06413	UNIPROT	UNIPROT	CSNK2A1	MEF2C	up-regulates activity	SIGNOR	SIGNOR	8663403	protein	protein	0.334
P41968	Q5JWF2	UNIPROT	UNIPROT	MC3R	GNAS	up-regulates activity	SIGNOR	SIGNOR	22215617	protein	protein	0.546
CHEBI:94063	Q9UQL6	ChEBI	UNIPROT	N-hydroxy-3-[4-[[2-hydroxyethyl-[2-(1H-indol-3-yl)ethyl]amino]methyl]phenyl]-2-propenamide	HDAC5	down-regulates activity	SIGNOR	SIGNOR	20139990	chemical	protein	0.8
P02671	P20702	UNIPROT	UNIPROT	FGA	ITGAX	up-regulates	SIGNOR	SIGNOR	7679388	protein	protein	0.385
Q9H6Z9	O43521-1	UNIPROT	UNIPROT	EGLN3	BCL2L11	up-regulates quantity by stabilization	SIGNOR	SIGNOR	31375625	protein	protein	0.253
P50613	P24928	UNIPROT	UNIPROT	CDK7	POLR2A	down-regulates	SIGNOR	SIGNOR	14662762	protein	protein	0.788
P06213	P60484	UNIPROT	UNIPROT	INSR	PTEN	down-regulates activity	SIGNOR	SIGNOR	23995781	protein	protein	0.442
Q01196	URS000037EC34_9606	UNIPROT	RNAcentral	RUNX1	hsa-mir-223	up-regulates quantity by expression	SIGNOR	SIGNOR	25092144	protein	mirna	0.4
P25101	P38405	UNIPROT	UNIPROT	EDNRA	GNAL	up-regulates activity	SIGNOR	SIGNOR	31160049	protein	protein	0.449
SIGNOR-C474	CHEBI:18022	SIGNOR	ChEBI	MPO-ANCA	thiocyanate	up-regulates quantity by expression	SIGNOR	SIGNOR	9922160	complex	smallmolecule	0.8
P49840	Q9NZQ7	UNIPROT	UNIPROT	GSK3A	CD274	down-regulates quantity by destabilization	SIGNOR	SIGNOR	33879767	protein	protein	0.2
P30530	P30530	UNIPROT	UNIPROT	AXL	AXL	up-regulates activity	SIGNOR	SIGNOR	9178760	protein	protein	0.2
P68400	Q16666	UNIPROT	UNIPROT	CSNK2A1	IFI16	up-regulates activity	SIGNOR	SIGNOR	11115400	protein	protein	0.322
Q9H6I2	P35222	UNIPROT	UNIPROT	SOX17	CTNNB1	down-regulates	SIGNOR	SIGNOR	10549281	protein	protein	0.685
O43395	SIGNOR-C478	UNIPROT	SIGNOR	PRPF3	U4/U6.U5 snRNP complex	form complex	SIGNOR	SIGNOR	30765414	protein	complex	0.776
P24385	SIGNOR-PH1	UNIPROT	SIGNOR	CCND1	Skeletal_muscle_differentiation	down-regulates	SIGNOR	SIGNOR	20219869	protein	phenotype	0.7
P56178	Q13950	UNIPROT	UNIPROT	DLX5	RUNX2	up-regulates quantity by expression	SIGNOR	SIGNOR	17335796	protein	protein	0.484
P52799	P54753	UNIPROT	UNIPROT	EFNB2	EPHB3	up-regulates	SIGNOR	SIGNOR	9330863	protein	protein	0.883
O14686	SIGNOR-C19	UNIPROT	SIGNOR	KMT2D	HMT	form complex	SIGNOR	SIGNOR	17500065	protein	complex	0.835
P08047	Q8N695	UNIPROT	UNIPROT	SP1	SLC5A8	up-regulates quantity by expression	SIGNOR	SIGNOR	20082847	protein	protein	0.2
Q92523	CHEBI:57287	UNIPROT	ChEBI	CPT1B	coenzyme A(4-)	up-regulates quantity	SIGNOR	SIGNOR	14517221	protein	smallmolecule	0.8
P00747	P25116	UNIPROT	UNIPROT	PLG	F2R	down-regulates activity	SIGNOR	SIGNOR	10978167	protein	protein	0.624
CID:6918848	Q969S8	PUBCHEM	UNIPROT	(S)-N-Hydroxy-4-(3-methyl-2-phenylbutanamido)benzamide	HDAC10	down-regulates activity	SIGNOR	SIGNOR	31908417	chemical	protein	0.8
SIGNOR-PF1	O75581	SIGNOR	UNIPROT	ERK1/2	LRP6	up-regulates	SIGNOR	SIGNOR	20974802	proteinfamily	protein	0.2
SIGNOR-C15	P63000	SIGNOR	UNIPROT	AMPK	RAC1	up-regulates activity	SIGNOR	SIGNOR	29572236	complex	protein	0.263
Q16581	SIGNOR-PH93	UNIPROT	SIGNOR	C3AR1	Chemotaxis	up-regulates	SIGNOR	SIGNOR	9108406	protein	phenotype	0.7
Q13535	Q9BW19	UNIPROT	UNIPROT	ATR	KIFC1	up-regulates quantity by stabilization	SIGNOR	SIGNOR	33397932	protein	protein	0.257
CHEBI:49662	P23219	ChEBI	UNIPROT	indometacin	PTGS1	down-regulates activity	SIGNOR	SIGNOR	9057869	chemical	protein	0.8
P48454	P21333	UNIPROT	UNIPROT	PPP3CC	FLNA	down-regulates quantity by destabilization	SIGNOR	SIGNOR	16442073	protein	protein	0.2
Q13330	O95863	UNIPROT	UNIPROT	MTA1	SNAI1	up-regulates quantity by expression	SIGNOR	SIGNOR	18719363	protein	protein	0.496
P17252	P29474	UNIPROT	UNIPROT	PRKCA	NOS3	down-regulates activity	SIGNOR	SIGNOR	24379783	protein	protein	0.3
O15111	Q9NQC7	UNIPROT	UNIPROT	CHUK	CYLD	up-regulates activity	SIGNOR	SIGNOR	24614225	protein	protein	0.542
O60885	P24928	UNIPROT	UNIPROT	BRD4	POLR2A	up-regulates	SIGNOR	SIGNOR	22509028	protein	protein	0.448
Q92905	Q9NZQ7	UNIPROT	UNIPROT	COPS5	CD274	up-regulates quantity by stabilization	SIGNOR	SIGNOR	27866850	protein	protein	0.2
Q00535	P10636	UNIPROT	UNIPROT	CDK5	MAPT	down-regulates	SIGNOR	SIGNOR	21215781	protein	protein	0.761
P23469	P06213	UNIPROT	UNIPROT	PTPRE	INSR	down-regulates activity	SIGNOR	SIGNOR	15738637	protein	protein	0.286
P08908	O95837	UNIPROT	UNIPROT	HTR1A	GNA14	up-regulates activity	SIGNOR	SIGNOR	31160049	protein	protein	0.25
CHEBI:36798	P20309	ChEBI	UNIPROT	dothiepin	CHRM3	down-regulates activity	SIGNOR	SIGNOR	8100134	chemical	protein	0.8
Q03164	P17947	UNIPROT	UNIPROT	KMT2A	SPI1	up-regulates quantity by expression	SIGNOR	SIGNOR	22012064	protein	protein	0.44
Q8IYT8	P08237	UNIPROT	UNIPROT	ULK2	PFKM	down-regulates activity	SIGNOR	SIGNOR	27153534	protein	protein	0.2
CHEBI:90197	P08581	ChEBI	UNIPROT	PHA-665752	MET	down-regulates activity	SIGNOR	SIGNOR	22037378	chemical	protein	0.8
Q96PU5	O15527	UNIPROT	UNIPROT	NEDD4L	OGG1	down-regulates quantity by destabilization	SIGNOR	SIGNOR	33282879	protein	protein	0.2
Q13546	Q13546	UNIPROT	UNIPROT	RIPK1	RIPK1	up-regulates activity	SIGNOR	SIGNOR	18408713	protein	protein	0.2
P17252	Q92888	UNIPROT	UNIPROT	PRKCA	ARHGEF1	up-regulates activity	SIGNOR	SIGNOR	32881857	protein	protein	0.44
P49767	P35916	UNIPROT	UNIPROT	VEGFC	FLT4	up-regulates	SIGNOR	SIGNOR	9435229	protein	protein	0.935
P27361	P49841	UNIPROT	UNIPROT	MAPK3	GSK3B	down-regulates activity	SIGNOR	SIGNOR	28646232	protein	protein	0.294
Q13315	Q7LG56	UNIPROT	UNIPROT	ATM	RRM2B	up-regulates	SIGNOR	SIGNOR	19015526	protein	protein	0.512
Q96PZ7	P84022	UNIPROT	UNIPROT	CSMD1	SMAD3	up-regulates activity	SIGNOR	SIGNOR	22538441	protein	protein	0.2
P15514	P00533	UNIPROT	UNIPROT	AREG	EGFR	up-regulates	SIGNOR	SIGNOR	20513444	protein	protein	0.77
Q13315	O43684	UNIPROT	UNIPROT	ATM	BUB3	up-regulates activity	SIGNOR	SIGNOR	35085551	protein	protein	0.312
Q9Y5H5	P05556	UNIPROT	UNIPROT	PCDHA9	ITGB1	up-regulates activity	SIGNOR	SIGNOR	16697637	protein	protein	0.2
O94925	CHEBI:58359	UNIPROT	ChEBI	GLS	L-glutamine zwitterion	down-regulates quantity	SIGNOR	SIGNOR	22049910	protein	smallmolecule	0.8
