subject_id	object_id	subject_id_prefix	object_id_prefix	subject_name	object_name	predicate	Primary_Knowledge_Source	Knowledge_Source	publications	subject_category	object_category	score
Q13315	O75943	UNIPROT	UNIPROT	ATM	RAD17	unknown	SIGNOR	SIGNOR	10608806	protein	protein	0.846
Q13009	P63000	UNIPROT	UNIPROT	TIAM1	RAC1	up-regulates	SIGNOR	SIGNOR	20654717	protein	protein	0.75
SIGNOR-PF26	Q05195	SIGNOR	UNIPROT	RPS6K	MXD1	down-regulates	SIGNOR	SIGNOR	18451027	proteinfamily	protein	0.2
P23443	Q15633	UNIPROT	UNIPROT	RPS6KB1	TARBP2	up-regulates activity	SIGNOR	SIGNOR	27407113	protein	protein	0.322
P61086	Q8WVD3	UNIPROT	UNIPROT	UBE2K	RNF138	up-regulates activity	SIGNOR	SIGNOR	16714285	protein	protein	0.535
P53350	Q6PGQ7	UNIPROT	UNIPROT	PLK1	BORA	down-regulates	SIGNOR	SIGNOR	18521620	protein	protein	0.787
P49841	Q9NZQ7	UNIPROT	UNIPROT	GSK3B	CD274	down-regulates quantity by destabilization	SIGNOR	SIGNOR	27572267	protein	protein	0.308
SIGNOR-PF24	SIGNOR-PF27	SIGNOR	SIGNOR	AKT	FOXO	down-regulates	SIGNOR	SIGNOR	16272144	proteinfamily	proteinfamily	0.91
Q92793	Q13351	UNIPROT	UNIPROT	CREBBP	KLF1	up-regulates activity	SIGNOR	SIGNOR	11259590	protein	protein	0.491
SIGNOR-PF33	P63096	SIGNOR	UNIPROT	GPCR	GNAI1	up-regulates	SIGNOR	SIGNOR	23994464	proteinfamily	protein	0.2
CHEBI:6741	P35354	ChEBI	UNIPROT	meloxicam	PTGS2	down-regulates activity	SIGNOR	SIGNOR	9083488	chemical	protein	0.8
Q13435	SIGNOR-C442	UNIPROT	SIGNOR	SF3B2	SF3b	form complex	SIGNOR	SIGNOR	32140746	protein	complex	0.924
CID:9833444	P32239	PUBCHEM	UNIPROT	Sincalide	CCKBR	up-regulates activity	SIGNOR	SIGNOR	31160049	smallmolecule	protein	0.8
Q9Y243	Q96ST2	UNIPROT	UNIPROT	AKT3	IWS1	up-regulates activity	SIGNOR	SIGNOR	24462114	protein	protein	0.381
P01579	P15172	UNIPROT	UNIPROT	IFNG	MYOD1	down-regulates	SIGNOR	SIGNOR	11009425	protein	protein	0.289
P27361	P15056	UNIPROT	UNIPROT	MAPK3	BRAF	down-regulates activity	SIGNOR	SIGNOR	21478863	protein	protein	0.645
SIGNOR-C415	O96017	SIGNOR	UNIPROT	NatA	CHEK2	down-regulates activity	SIGNOR	SIGNOR	21351257	complex	protein	0.2
