EndPathways	QueryNode	EndNode	Path_String	relations_path	Path_Score	Path_Length	Final_Effect	Effect	n	mean	sd	zscore
GLUTAMINOLYSIS	P38	GLUTAMINOLYSIS	P38-->TP53-->GLS2--|GLUTAMINE-->GLUTAMINOLYSIS	SIGNOR-270126;SIGNOR-268041;SIGNOR-266909;SIGNOR-268009	1.711	4	-1	down-regulates	8203	2.7883721809094233	0.5127216629175434	-2.1012807900076726
GLUTAMINOLYSIS	DYRK2	GLUTAMINOLYSIS	DYRK2-->TP53-->GLS2--|GLUTAMINE-->GLUTAMINOLYSIS	SIGNOR-153544;SIGNOR-268041;SIGNOR-266909;SIGNOR-268009	1.282	4	-1	down-regulates	8203	2.7883721809094233	0.5127216629175434	-2.9379920722243407
GLUTAMINOLYSIS	TBK1	GLUTAMINOLYSIS	TBK1-->RELA-->JUN-->GLS-->GLUTAMINOLYSIS	SIGNOR-129951;SIGNOR-160330;SIGNOR-268035;SIGNOR-259999	1.663	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.1948988355703767
GLUTAMINOLYSIS	EP300	GLUTAMINOLYSIS	EP300-->RELA-->JUN-->GLS-->GLUTAMINOLYSIS	SIGNOR-143399;SIGNOR-160330;SIGNOR-268035;SIGNOR-259999	1.436	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.6376341760439987
GLUTAMINOLYSIS	3',5'-CYCLIC_AMP	GLUTAMINOLYSIS	3',5'-CYCLIC_AMP-->PRKACA--|CAD--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-141786;SIGNOR-250344;SIGNOR-267418;SIGNOR-268016	1.373	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.7605078608450477
GLUTAMINOLYSIS	ARACHIDONIC_ACID	GLUTAMINOLYSIS	ARACHIDONIC_ACID-->PRKCA--|GFPT1--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-17809;SIGNOR-249040;SIGNOR-267816;SIGNOR-268016	1.373	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.7605078608450477
GLUTAMINOLYSIS	RPS6KA5	GLUTAMINOLYSIS	RPS6KA5-->RELA-->JUN-->GLS-->GLUTAMINOLYSIS	SIGNOR-99210;SIGNOR-160330;SIGNOR-268035;SIGNOR-259999	1.554	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.407489814035684
GLUTAMINOLYSIS	PPP2R5C	GLUTAMINOLYSIS	PPP2R5C--|MAPK1-->CAD--|GLUTAMINE-->GLUTAMINOLYSIS	SIGNOR-144325;SIGNOR-137171;SIGNOR-267199;SIGNOR-268009	1.583	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.350928911508217
GLUTAMINOLYSIS	MAP2K1	GLUTAMINOLYSIS	MAP2K1-->MAPK1-->JUN-->GLS-->GLUTAMINOLYSIS	SIGNOR-236447;SIGNOR-201943;SIGNOR-268035;SIGNOR-259999	1.44	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.6298326722471064
GLUTAMINOLYSIS	ABL1	GLUTAMINOLYSIS	ABL1-->JUN-->GLS--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-251428;SIGNOR-268035;SIGNOR-260000;SIGNOR-268016	1.665	4	-1	down-regulates	8203	2.7883721809094233	0.5127216629175434	-2.1909980836719307
GLUTAMINOLYSIS	CDK2	GLUTAMINOLYSIS	CDK2--|PPP1CA--|CAD--|GLUTAMINE-->GLUTAMINOLYSIS	SIGNOR-92265;SIGNOR-263741;SIGNOR-267199;SIGNOR-268009	1.77	4	-1	down-regulates	8203	2.7883721809094233	0.5127216629175434	-1.9862086090035156
GLUTAMINOLYSIS	1,2-DIACYL-SN-GLYCEROL	GLUTAMINOLYSIS	1,2-DIACYL-SN-GLYCEROL-->PRKCA--|GFPT1--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-251559;SIGNOR-249040;SIGNOR-267816;SIGNOR-268016	1.373	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.7605078608450477
GLUTAMINOLYSIS	TOPORS	GLUTAMINOLYSIS	TOPORS--|TP53-->GLS2--|GLUTAMINE-->GLUTAMINOLYSIS	SIGNOR-185848;SIGNOR-268041;SIGNOR-266909;SIGNOR-268009	1.446	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.6181304165517685
GLUTAMINOLYSIS	PPP1R3B	GLUTAMINOLYSIS	PPP1R3B-->PP1--|CAD--|GLUTAMINE-->GLUTAMINOLYSIS	SIGNOR-271736;SIGNOR-264653;SIGNOR-267199;SIGNOR-268009	1.577	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.3626311672035554
GLUTAMINOLYSIS	QARS1	GLUTAMINOLYSIS	QARS1--[]MULTIAMINOACYL-TRNA_SYNTHETASE--|GLUTAMINE-->GLUTAMINOLYSIS	SIGNOR-270358;SIGNOR-270389;SIGNOR-268009	1.3	3	-1	down-regulates	8203	2.7883721809094233	0.5127216629175434	-2.9028853051383265
GLUTAMINOLYSIS	YY2	GLUTAMINOLYSIS	YY2-->TP53--|GMPS--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-266213;SIGNOR-267342;SIGNOR-267340;SIGNOR-268016	1.57	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.376283798848116
GLUTAMINOLYSIS	PRKACA	GLUTAMINOLYSIS	PRKACA--|CAD--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-250344;SIGNOR-267418;SIGNOR-268016	1.173	3	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-3.150583050689648
GLUTAMINOLYSIS	MAP2K2	GLUTAMINOLYSIS	MAP2K2-->MAPK1-->CAD--|GLUTAMINE-->GLUTAMINOLYSIS	SIGNOR-258996;SIGNOR-137171;SIGNOR-267199;SIGNOR-268009	1.34	4	-1	down-regulates	8203	2.7883721809094233	0.5127216629175434	-2.8248702671694064
GLUTAMINOLYSIS	ABI1	GLUTAMINOLYSIS	ABI1-->ABL1-->JUN-->GLS-->GLUTAMINOLYSIS	SIGNOR-45994;SIGNOR-251428;SIGNOR-268035;SIGNOR-259999	1.585	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.347028159609771
GLUTAMINOLYSIS	FOS	GLUTAMINOLYSIS	FOS-->JUN-->GLS--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-252087;SIGNOR-268035;SIGNOR-260000;SIGNOR-268016	1.229	4	-1	down-regulates	8203	2.7883721809094233	0.5127216629175434	-3.04136199753316
GLUTAMINOLYSIS	PARP1	GLUTAMINOLYSIS	PARP1-->TP53-->GLS2--|GLUTAMINE-->GLUTAMINOLYSIS	SIGNOR-261321;SIGNOR-268041;SIGNOR-266909;SIGNOR-268009	1.375	4	-1	down-regulates	8203	2.7883721809094233	0.5127216629175434	-2.7566071089466018
GLUTAMINOLYSIS	DUSP3	GLUTAMINOLYSIS	DUSP3--|MAPK3-->CAD--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-248535;SIGNOR-137179;SIGNOR-267418;SIGNOR-268016	1.629	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.261211617843959
GLUTAMINOLYSIS	FBXO11	GLUTAMINOLYSIS	FBXO11--|TP53-->GLS2--|GLUTAMINE-->GLUTAMINOLYSIS	SIGNOR-150669;SIGNOR-268041;SIGNOR-266909;SIGNOR-268009	1.253	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.9945529747518083
GLUTAMINOLYSIS	HLX	GLUTAMINOLYSIS	HLX-->JUN-->GLS-->GLUTAMINOLYSIS	SIGNOR-261623;SIGNOR-268035;SIGNOR-259999	1.776	3	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-1.9745063533081775
